scenario,behavior,characteristics,mean,standard_deviation,min,max,value_absence,value_presence,independent_charac,booleans,strings
Alabama,recycling,att,0.84,0.1,0.0,1.0,0,1,True,,
Alabama,recycling,availability,,,,,,,,True,
Alabama,recycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
Alabama,recycling,ds,0.455216406,1e-06,0.0,1.0,0,1,True,,
Alabama,recycling,err,-1.0,0.0500409052078838,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Alabama,recycling,households,543.3430317,67.16438755,432.0701193,654.6470759,,,True,,
Alabama,recycling,ht,0.718806723,0.132495178,0.0,1.0,0,1,True,,
Alabama,recycling,kn,0.3176239,0.071921731,0.0,1.0,0,1,True,,
Alabama,recycling,name,,,,,,,,,recycling
Alabama,recycling,ns,0.777087085,1e-06,0.0,1.0,0,1,True,,
Alabama,recycling,pbc,0.0,1e-06,0.0,1.0,0,1,True,,
Alabama,recycling,pr,0.0684931516666666,1e-06,0.0,1.0,0,1,True,,
Alabama,recycling,sn,0.0684931516666666,1e-06,0.0,1.0,trash,recycling,False,,
Alabama,trash,att,0.0,1e-06,0.0,1.0,0,1,True,,
Alabama,trash,availability,,,,,,,,True,
Alabama,trash,bin,1.0,1e-06,0.0,1.0,0,1,True,,
Alabama,trash,ds,0.0,1e-06,0.0,1.0,0,1,True,,
Alabama,trash,err,0.0,1e-06,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Alabama,trash,households,543.3430317,67.16438755,432.0701193,654.6470759,,,True,,
Alabama,trash,ht,1.0,1e-06,0.0,1.0,0,1,True,,
Alabama,trash,kn,1.0,1e-06,0.0,1.0,0,1,True,,
Alabama,trash,name,,,,,,,,,trash
Alabama,trash,ns,0.0,1e-06,0.0,1.0,0,1,True,,
Alabama,trash,pbc,1.0,1e-06,0.0,1.0,0,1,True,,
Alabama,trash,pr,0.917808219,1e-06,0.0,1.0,0,1,True,,
Alabama,trash,sn,0.917808219,1e-06,0.0,1.0,recycling,trash,False,,
Alabama,wishcycling,att,0.0,0.1,0.0,1.0,0,1,True,,
Alabama,wishcycling,availability,,,,,,,,True,
Alabama,wishcycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
Alabama,wishcycling,ds,0.455216406,1e-06,0.0,1.0,0,1,True,,
Alabama,wishcycling,err,-2.0,0.0500409052078838,-2.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Alabama,wishcycling,households,543.3430317,67.16438755,432.0701193,654.6470759,,,True,,
Alabama,wishcycling,ht,0.718806723,0.132495178,0.0,1.0,0,1,True,,
Alabama,wishcycling,kn,0.3176239,0.071921731,0.0,1.0,0,1,True,,
Alabama,wishcycling,name,,,,,,,,,wishcycling
Alabama,wishcycling,ns,0.777087085,1e-06,0.0,1.0,0,1,True,,
Alabama,wishcycling,pbc,0.0,1e-06,0.0,1.0,0,1,True,,
Alabama,wishcycling,pr,0.0136986303333333,1e-06,0.0,1.0,0,1,True,,
Alabama,wishcycling,sn,0.0136986303333333,1e-06,0.0,1.0,trash,wishcycling,False,,
Alaska,recycling,att,0.84,0.1,0.0,1.0,0,1,True,,
Alaska,recycling,availability,,,,,,,,True,
Alaska,recycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
Alaska,recycling,ds,0.490338984,1e-06,0.0,1.0,0,1,True,,
Alaska,recycling,err,-1.0,0.0500409052078838,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Alaska,recycling,households,474.4307116,55.53932584,382.3445693,566.6011236,,,True,,
Alaska,recycling,ht,0.691576591,0.114987697,0.0,1.0,0,1,True,,
Alaska,recycling,kn,0.372971649,0.069687226,0.0,1.0,0,1,True,,
