scenario,behavior,characteristics,mean,standard_deviation,min,max,value_absence,value_presence,independent_charac,booleans,strings
"Block Group 1, Census Tract 1, Campbell County, Wyoming",recycling,att,0.84,0.1,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",recycling,availability,,,,,,,,True,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",recycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",recycling,ds,0.53865913,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",recycling,err,-1.0,1e-06,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",recycling,households,1136.0,144.0,898.0,1374.0,,,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",recycling,ht,0.6854187689202825,0.0960007851821408,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",recycling,kn,0.3393037336024218,0.0641027607126754,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",recycling,name,,,,,,,,,recycling
"Block Group 1, Census Tract 1, Campbell County, Wyoming",recycling,ns,0.9310644728188192,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",recycling,pbc,0.0,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",recycling,pr,0.1369863016666666,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",recycling,sn,0.1369863016666666,1e-06,0.0,1.0,trash,recycling,False,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",trash,att,0.0,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",trash,availability,,,,,,,,True,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",trash,bin,1.0,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",trash,ds,0.0,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",trash,err,0.0,1e-06,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",trash,households,1136.0,144.0,898.0,1374.0,,,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",trash,ht,1.0,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",trash,kn,1.0,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",trash,name,,,,,,,,,trash
"Block Group 1, Census Tract 1, Campbell County, Wyoming",trash,ns,0.0,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",trash,pbc,1.0,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",trash,pr,0.835616438,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",trash,sn,0.835616438,1e-06,0.0,1.0,recycling,trash,False,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",wishcycling,att,0.84,0.1,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",wishcycling,availability,,,,,,,,True,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",wishcycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",wishcycling,ds,0.53865913,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",wishcycling,err,-2.0,1e-06,-2.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",wishcycling,households,1136.0,144.0,898.0,1374.0,,,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",wishcycling,ht,0.6854187689202825,0.0960007851821408,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",wishcycling,kn,0.3393037336024218,0.0641027607126754,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",wishcycling,name,,,,,,,,,wishcycling
"Block Group 1, Census Tract 1, Campbell County, Wyoming",wishcycling,ns,0.9310644728188192,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",wishcycling,pbc,0.0,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",wishcycling,pr,0.0273972603333333,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Campbell County, Wyoming",wishcycling,sn,0.0273972603333333,1e-06,0.0,1.0,trash,wishcycling,False,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",recycling,att,0.84,0.1,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",recycling,availability,,,,,,,,True,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",recycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",recycling,ds,0.53865913,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",recycling,err,-1.0,1e-06,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",recycling,households,663.0,54.0,574.0,752.0,,,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",recycling,ht,0.7866473149492017,0.1327857209029429,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",recycling,kn,0.4042089985486212,0.0741129605039681,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",recycling,name,,,,,,,,,recycling
"Block Group 1, Census Tract 1, Fremont County, Wyoming",recycling,ns,0.6904027507976471,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",recycling,pbc,0.0,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",recycling,pr,0.1369863016666666,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",recycling,sn,0.1369863016666666,1e-06,0.0,1.0,trash,recycling,False,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",trash,att,0.0,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",trash,availability,,,,,,,,True,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",trash,bin,1.0,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",trash,ds,0.0,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",trash,err,0.0,1e-06,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",trash,households,663.0,54.0,574.0,752.0,,,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",trash,ht,1.0,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",trash,kn,1.0,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",trash,name,,,,,,,,,trash
"Block Group 1, Census Tract 1, Fremont County, Wyoming",trash,ns,0.0,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",trash,pbc,1.0,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",trash,pr,0.835616438,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",trash,sn,0.835616438,1e-06,0.0,1.0,recycling,trash,False,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",wishcycling,att,0.84,0.1,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",wishcycling,availability,,,,,,,,True,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",wishcycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",wishcycling,ds,0.53865913,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",wishcycling,err,-2.0,1e-06,-2.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",wishcycling,households,663.0,54.0,574.0,752.0,,,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",wishcycling,ht,0.7866473149492017,0.1327857209029429,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",wishcycling,kn,0.4042089985486212,0.0741129605039681,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",wishcycling,name,,,,,,,,,wishcycling
"Block Group 1, Census Tract 1, Fremont County, Wyoming",wishcycling,ns,0.6904027507976471,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",wishcycling,pbc,0.0,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",wishcycling,pr,0.0273972603333333,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Fremont County, Wyoming",wishcycling,sn,0.0273972603333333,1e-06,0.0,1.0,trash,wishcycling,False,,
"Block Group 1, Census Tract 1, Sheridan County, Wyoming",recycling,att,0.84,0.1,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Sheridan County, Wyoming",recycling,availability,,,,,,,,True,
"Block Group 1, Census Tract 1, Sheridan County, Wyoming",recycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Sheridan County, Wyoming",recycling,ds,0.53865913,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Sheridan County, Wyoming",recycling,err,-1.0,1e-06,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
"Block Group 1, Census Tract 1, Sheridan County, Wyoming",recycling,households,926.0,108.0,747.0,1105.0,,,True,,
"Block Group 1, Census Tract 1, Sheridan County, Wyoming",recycling,ht,0.633303808680248,0.1346108803282351,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Sheridan County, Wyoming",recycling,kn,0.4052258635961027,0.0804973064362846,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Sheridan County, Wyoming",recycling,name,,,,,,,,,recycling
"Block Group 1, Census Tract 1, Sheridan County, Wyoming",recycling,ns,0.6275748685004398,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Sheridan County, Wyoming",recycling,pbc,0.0,1e-06,0.0,1.0,0,1,True,,
"Block Group 1, Census Tract 1, Sheridan County, Wyoming",recycling,pr,0.1369863016666666,1e-06,0.0,1.0,0,1,True,,
