,location,year,bale,material,value
0,North Dakota_Bottineau,2020,vacuum,aluminum,5.970184485
1,North Dakota_Bottineau,2020,vacuum,cardboard,286.56885528000004
2,North Dakota_Bottineau,2020,vacuum,iron,7.164221381999999
3,North Dakota_Bottineau,2020,vacuum,glass,89.552767275
4,North Dakota_Bottineau,2020,vacuum,hdpe,47.76147588
5,North Dakota_Bottineau,2020,vacuum,paper,446.5469810149854
6,North Dakota_Bottineau,2020,vacuum,pet,53.73166036499999
7,North Dakota_Bottineau,2020,vacuum,film,4.182931884328827
8,North Dakota_Bottineau,2020,vacuum,other,2.388073794
9,North Dakota_Bottineau,2020,film_bale,aluminum,0.0
10,North Dakota_Bottineau,2020,film_bale,cardboard,5.731377105600001
11,North Dakota_Bottineau,2020,film_bale,iron,0.0
12,North Dakota_Bottineau,2020,film_bale,glass,0.0
13,North Dakota_Bottineau,2020,film_bale,hdpe,0.0
14,North Dakota_Bottineau,2020,film_bale,paper,8.930939620299709
15,North Dakota_Bottineau,2020,film_bale,pet,0.0
16,North Dakota_Bottineau,2020,film_bale,film,4.099273246642251
17,North Dakota_Bottineau,2020,film_bale,other,0.0
18,North Dakota_Bottineau,2020,cardboard_bale,aluminum,0.0
19,North Dakota_Bottineau,2020,cardboard_bale,cardboard,210.6281086308
20,North Dakota_Bottineau,2020,cardboard_bale,iron,0.0
21,North Dakota_Bottineau,2020,cardboard_bale,glass,0.0
22,North Dakota_Bottineau,2020,cardboard_bale,hdpe,0.0
23,North Dakota_Bottineau,2020,cardboard_bale,paper,8.752320827893714
24,North Dakota_Bottineau,2020,cardboard_bale,pet,0.0
25,North Dakota_Bottineau,2020,cardboard_bale,film,0.0
26,North Dakota_Bottineau,2020,cardboard_bale,other,0.0
27,North Dakota_Bottineau,2020,glass_bale,aluminum,0.0
28,North Dakota_Bottineau,2020,glass_bale,cardboard,0.0
29,North Dakota_Bottineau,2020,glass_bale,iron,0.0
30,North Dakota_Bottineau,2020,glass_bale,glass,86.86618425674999
31,North Dakota_Bottineau,2020,glass_bale,hdpe,0.0
32,North Dakota_Bottineau,2020,glass_bale,paper,0.0
33,North Dakota_Bottineau,2020,glass_bale,pet,0.0
34,North Dakota_Bottineau,2020,glass_bale,film,0.0
35,North Dakota_Bottineau,2020,glass_bale,other,0.0
36,North Dakota_Bottineau,2020,pet_bale,aluminum,0.17910553455000056
37,North Dakota_Bottineau,2020,pet_bale,cardboard,3.4402591076364075
38,North Dakota_Bottineau,2020,pet_bale,iron,0.0
39,North Dakota_Bottineau,2020,pet_bale,glass,0.21492664145999996
40,North Dakota_Bottineau,2020,pet_bale,hdpe,4.776147588000001
41,North Dakota_Bottineau,2020,pet_bale,paper,1.286591161700379
42,North Dakota_Bottineau,2020,pet_bale,pet,48.89581093214999
43,North Dakota_Bottineau,2020,pet_bale,film,0.01639709298656901
44,North Dakota_Bottineau,2020,pet_bale,other,0.11940368969999993
45,North Dakota_Bottineau,2020,hdpe_bale,aluminum,0.17373236851349994
46,North Dakota_Bottineau,2020,hdpe_bale,cardboard,3.2682461522545836
47,North Dakota_Bottineau,2020,hdpe_bale,iron,0.0
48,North Dakota_Bottineau,2020,hdpe_bale,glass,0.19773251014319992
49,North Dakota_Bottineau,2020,hdpe_bale,hdpe,30.089729804399997
50,North Dakota_Bottineau,2020,hdpe_bale,paper,1.2222616036153582
51,North Dakota_Bottineau,2020,hdpe_bale,pet,0.04835849432850026
52,North Dakota_Bottineau,2020,hdpe_bale,film,0.013117674389255207
53,North Dakota_Bottineau,2020,hdpe_bale,other,0.11343350521500017
54,North Dakota_Bottineau,2020,iron_bale,aluminum,0.0
55,North Dakota_Bottineau,2020,iron_bale,cardboard,0.0
56,North Dakota_Bottineau,2020,iron_bale,iron,0.3582110691
57,North Dakota_Bottineau,2020,iron_bale,glass,0.0
58,North Dakota_Bottineau,2020,iron_bale,hdpe,0.0
59,North Dakota_Bottineau,2020,iron_bale,paper,0.0
60,North Dakota_Bottineau,2020,iron_bale,pet,0.0
61,North Dakota_Bottineau,2020,iron_bale,film,0.0005247069755702086
62,North Dakota_Bottineau,2020,iron_bale,other,0.0
63,North Dakota_Bottineau,2020,aluminum_bale,aluminum,4.6328631603599995
64,North Dakota_Bottineau,2020,aluminum_bale,cardboard,0.0
65,North Dakota_Bottineau,2020,aluminum_bale,iron,0.0
66,North Dakota_Bottineau,2020,aluminum_bale,glass,1.235828188395001
67,North Dakota_Bottineau,2020,aluminum_bale,hdpe,0.0
68,North Dakota_Bottineau,2020,aluminum_bale,paper,0.0
69,North Dakota_Bottineau,2020,aluminum_bale,pet,0.0
70,North Dakota_Bottineau,2020,aluminum_bale,film,0.0
71,North Dakota_Bottineau,2020,aluminum_bale,other,0.0
72,Georgia_Atkinson,2020,vacuum,aluminum,9.17889783
73,Georgia_Atkinson,2020,vacuum,cardboard,541.55497197
74,Georgia_Atkinson,2020,vacuum,iron,11.932567179
75,Georgia_Atkinson,2020,vacuum,glass,64.25228481
76,Georgia_Atkinson,2020,vacuum,hdpe,73.43118264
77,Georgia_Atkinson,2020,vacuum,paper,79.16039361963117
78,Georgia_Atkinson,2020,vacuum,pet,100.96787613
79,Georgia_Atkinson,2020,vacuum,film,4.767837994762211
80,Georgia_Atkinson,2020,vacuum,other,4.589448915
81,Georgia_Atkinson,2020,film_bale,aluminum,0.0
82,Georgia_Atkinson,2020,film_bale,cardboard,10.8310994394
83,Georgia_Atkinson,2020,film_bale,iron,0.0
84,Georgia_Atkinson,2020,film_bale,glass,0.0
85,Georgia_Atkinson,2020,film_bale,hdpe,0.0
