,year,vmanuf_to_use,use_to_dispose,dispose_to_landfill,dispose_to_collection,dispose_to_wte_uncollected,dispose_to_wte_collected,dispose_to_wte,dispose_to_mrf,mrf_to_m_reclaimer,mrf_to_c_reclaimer,mrf_to_c_upcycler,mrf_to_ppo_reclaimer,mrf_to_frp_reclaimer,mrf_to_landfill,m_reclaimer_to_manuf,m_reclaimer_to_landfill,c_reclaimer_to_manuf,c_reclaimer_to_landfill,rmanuf_to_use,rmanuf_to_landfill,cl_recycled,downcycled,wte_energy,pyrolysis_fuel_oil,fiber_reinforced_resin,plastic_demand_data,landfill,grade,total_bale_quantity,total_bale_quantity_mechanical_reclaimer,total_bale_quantity_chemical_reclaimer,total_bale_quantity_upcycling_reclaimer,total_bale_quantity_pyrolysis_reclaimer,total_bale_quantity_fiber_reinforced_resin_reclaimer,region
1,2020,102.37997107878722,101.35617136799935,63.8543879618396,30.406851410399803,7.094931995759956,0.0,7.094931995759956,30.406851410399803,27.670234783463822,0.0,0.0,0.0,0.0,2.73661662693598,26.286723044290632,1.3835117391731906,0.0,0.0,0.0,10.514689217716253,0.0,15.77203382657438,1951106.298833988,0.0,0.0,7215.199999999953,78.48920554566502,low,46.41651393807001,46.41651393807001,0.0,0.0,0.0,0.0,AL
1,2020,61.365968367676366,60.7523086839996,38.27395447091975,18.225692605199878,4.252661607879972,0.0,4.252661607879972,18.225692605199878,16.58538027073189,0.0,0.0,0.0,0.0,1.640312334467989,15.756111257195293,0.8292690135365959,0.0,0.0,0.0,6.302444502878117,0.0,9.453666754317176,1169481.9421669922,0.0,0.0,7215.199999999953,47.045980321802446,low,22.95270939371758,22.95270939371758,0.0,0.0,0.0,0.0,AR
1,2020,140.30051145050416,138.8975063359991,87.50542899167944,41.66925190079973,9.722825443519937,0.0,9.722825443519937,41.66925190079973,37.91901922972775,0.0,0.0,0.0,0.0,3.750232671071977,36.02306826824136,1.8959509614863919,0.0,0.0,0.0,14.409227307296543,0.0,21.613840960944817,2673776.996967983,0.0,0.0,7215.199999999953,107.56083993153435,low,48.869992891847026,48.869992891847026,0.0,0.0,0.0,0.0,AZ
1,2020,797.1012898149444,789.130276916795,497.15207445758085,236.73908307503848,55.23911938417565,0.0,55.23911938417565,236.73908307503848,215.432565598285,0.0,0.0,0.0,0.0,21.30651747675347,204.66093731837074,10.771628279914268,0.0,0.0,0.0,81.86437492734831,0.0,122.79656239102243,15190757.830648305,0.0,0.0,7215.199999999953,611.0945951415969,low,395.0019372575335,395.0019372575335,0.0,0.0,0.0,0.0,CA
1,2020,164.58658312727167,162.94071729599895,102.65265189647936,48.882215188799684,11.405850210719928,0.0,11.405850210719928,48.882215188799684,44.48281582180771,0.0,0.0,0.0,0.0,4.399399366991972,42.25867503071733,2.2241407910903845,0.0,0.0,0.0,16.90347001228693,0.0,25.355205018430397,3136608.8079479802,0.0,0.0,7215.199999999953,126.17966206684864,low,58.220532226853905,58.220532226853905,0.0,0.0,0.0,0.0,CO
1,2020,86.7671601365651,85.89948853519944,54.11667777717565,25.76984656055983,6.012964197463962,0.0,6.012964197463962,25.76984656055983,23.45056037010945,0.0,0.0,0.0,0.0,2.3192861904503808,22.278032351603976,1.1725280185054743,0.0,0.0,0.0,8.91121294064159,0.0,13.366819410962385,1653565.1543025894,0.0,0.0,7215.199999999953,66.5197049267731,low,33.70517912253519,33.70517912253519,0.0,0.0,0.0,0.0,CT
1,2020,660.6615006989856,654.0548856919958,412.05457798595734,196.21646570759873,45.783841998439705,0.0,45.783841998439705,196.21646570759873,178.55698379391484,0.0,0.0,0.0,0.0,17.65948191368389,160.70128541452337,17.85569837939147,0.0,0.0,0.0,40.175321353630835,0.0,120.52596406089253,12590556.549570918,0.0,0.0,7215.199999999953,487.74507963266353,medium,222.50360553160286,222.50360553160286,0.0,0.0,0.0,0.0,FL
1,2020,260.07479923232154,257.47405123999835,162.20865228119894,77.2422153719995,18.023183586799885,0.0,18.023183586799885,77.2422153719995,70.29041598851956,0.0,0.0,0.0,0.0,6.951799383479951,63.2613743896676,7.029041598851954,0.0,0.0,0.0,15.815343597416899,0.0,47.4460307922507,4956375.486369968,0.0,0.0,7215.199999999953,192.00483686094773,medium,87.14335456059924,87.14335456059924,0.0,0.0,0.0,0.0,GA
1,2020,73.65529056403993,72.91873765839954,45.938804724791716,21.87562129751986,5.104311636087968,0.0,5.104311636087968,21.87562129751986,19.906815380743073,0.0,0.0,0.0,0.0,1.9688059167767875,18.91147461170592,0.9953407690371527,0.0,0.0,0.0,7.564589844682368,0.0,11.346884767023552,1403685.6999241912,0.0,0.0,7215.199999999953,56.467541255288026,low,28.817522953269147,28.817522953269147,0.0,0.0,0.0,0.0,IA
1,2020,37.47555202181794,37.10079650159976,23.37350179600785,11.130238950479928,2.5970557551119833,0.0,2.5970557551119833,11.130238950479928,10.128517444936735,0.0,0.0,0.0,0.0,1.001721505543193,9.622091572689898,0.5064258722468367,0.0,0.0,0.0,3.8488366290759597,0.0,5.773254943613939,714190.3326557954,0.0,0.0,7215.199999999953,28.73048580287384,low,14.989092792406979,14.989092792406979,0.0,0.0,0.0,0.0,ID
