process,flow name,location,unit,flow quantity,input,source,stage,notes,type
"PET, at MRF",diesel,US,L,0.000374,TRUE,REF 1,sorting,,material
"PET, at MRF",electricity,US,kWh,0.01738,TRUE,REF 1,sorting,,energy
"PET, at MRF",liquefied petroleum gas,US,L,0.00846,TRUE,REF 1,sorting,,material
"PET, at MRF",lubricating oil,US,kg,1.00E-06,TRUE,REF 1,sorting,,material
"PET, at MRF",postconsumer PET,US,kg,1,FALSE,REF 1,sorting,,material
"PET, at MRF",water,US,kg,0.0362,TRUE,REF 1,sorting,,material
"PET, chemical reclamation",activated carbon,US,kg,0.0077,TRUE,BOTTLE TEA,"PET, glycolysis",carbon black can be a stand-in if not available,material
"PET, chemical reclamation",concrete,US,m3,5.85E-07,TRUE,estimate,"PET, glycolysis",for construction,material
"PET, chemical reclamation",diantimony trioxide,US,kg,0.0002,TRUE,BOTTLE TEA,"PET, glycolysis",antimony can be a stand-in if not available,material
"PET, chemical reclamation",electricity,US,kWh,0.36,TRUE,BOTTLE TEA,"PET, glycolysis",for refrigeration cycle,energy
"PET, chemical reclamation",ethylene glycol,US,kg,0.1212,TRUE,BOTTLE TEA,"PET, glycolysis",,material
"PET, chemical reclamation","glycolysis RPET, high grade",US,kg,1,FALSE,BOTTLE TEA,"PET, glycolysis",,material
"PET, chemical reclamation",landfilling,US,kg,0.477205,TRUE,BOTTLE TEA,"PET, glycolysis",,material
"PET, chemical reclamation",natural gas,US,m3,0.1212,TRUE,BOTTLE TEA,"PET, glycolysis",,energy
"PET, chemical reclamation",steam,US,MJ,0.261,TRUE,BOTTLE TEA,"PET, glycolysis",,material
"PET, chemical reclamation",steel,US,kg,3.40E-03,TRUE,estimate,"PET, glycolysis",for construction,material
"PET, chemical reclamation",triethylamine,US,kg,0.0016,TRUE,BOTTLE TEA,"PET, glycolysis",,material
"PET, chemical reclamation",water,US,kg,38.41,TRUE,BOTTLE TEA,"PET, glycolysis",cooling water,material
"PET, chemical reclamation",sodium hydroxide,US,kg,1.07E-02,TRUE,"PET, glycolysis","PET, glycolysis",,material
"PET, chemical reclamation",sulfuric acid,US,kg,1.10E-03,TRUE,"PET, glycolysis","PET, glycolysis",,material
"PET, collection",baling wire,US,kg,1.64E-03,TRUE,REF 1,waste collection,,material
"PET, collection",electricity,US,kWh,0.0555556,TRUE,REF 1,waste collection,,energy
"PET, collection",gasoline,US,L,0.0336,TRUE,REF 1,waste collection,,material
"PET, collection",liquefied petroleum gas,US,L,1.03E-05,TRUE,REF 1,waste collection,,material
"PET, collection",lubricating oil,US,kg,2.68E-07,TRUE,REF 1,waste collection,,material
"PET, collection","transport, heavy truck",US,t*km,0.119,TRUE,REF 1,waste collection,,material
