product,process,conjoined_flownames,location
"Acetic acid, at plant","Acetic acid, at plant@Acetic acid, at plant","Acetic acid, at plant@Acetic acid, at plant@Northern America",Northern America
"Acrylonitrile, at plant","Acrylonitrile, at plant@Acrylonitrile, at plant","Acrylonitrile, at plant@Acrylonitrile, at plant@Northern America",Northern America
"Acrylonitrile-butadiene-styrene, ABS, copolymer resin, at plant","Acrylonitrile-butadiene-styrene, ABS, copolymer resin, at plant@Acrylonitrile-butadiene-styrene, ABS, copolymer resin, at plant","Acrylonitrile-butadiene-styrene, ABS, copolymer resin, at plant@Acrylonitrile-butadiene-styrene, ABS, copolymer resin, at plant@Northern America",Northern America
"Alumimum scrap, at lost foam casting","Alumimum scrap, at lost foam casting@Lost foam casting, aluminum","Alumimum scrap, at lost foam casting@Lost foam casting, aluminum@Northern America",Northern America
"Alumina, at plant","Alumina, at plant@Northern America","Alumina, at plant@Alumina, at plant@Northern America",Northern America
"Aluminium, extrusion, at plant","Aluminium, extrusion, at plant@Aluminum, extrusion, at plant","Aluminium, extrusion, at plant@Aluminum, extrusion, at plant@Northern America",Northern America
"Aluminum ingot, production mix, at plant","Aluminum ingot, production mix, at plant@United States","Aluminum ingot, production mix, at plant@Aluminum ingot, production mix, at plant@United States",United States
"Aluminum recovery, transport, to plant","Aluminum recovery, transport, to plant@Northern America","Aluminum recovery, transport, to plant@Aluminum recovery, transport, to plant@Northern America",Northern America
"Aluminum scrap, at precision sand casting","Aluminum scrap, at precision sand casting@Precision sand casting, aluminum","Aluminum scrap, at precision sand casting@Precision sand casting, aluminum@Northern America",Northern America
"Aluminum scrap, at semi-permanent mold casting","Aluminum scrap, at semi-permanent mold casting@Semi-permanent mold (SPM) casting, aluminum","Aluminum scrap, at semi-permanent mold casting@Semi-permanent mold (SPM) casting, aluminum@Northern America",Northern America
"Aluminum, cast, lost foam, at plant","Aluminum, cast, lost foam, at plant@Lost foam casting, aluminum","Aluminum, cast, lost foam, at plant@Lost foam casting, aluminum@Northern America",Northern America
"Aluminum, cast, precision sand casting","Aluminum, cast, precision sand casting@Precision sand casting, aluminum","Aluminum, cast, precision sand casting@Precision sand casting, aluminum@Northern America",Northern America
"Aluminum, cast, semi-permanent mold (SPM), at plant","Aluminum, cast, semi-permanent mold (SPM), at plant@Semi-permanent mold (SPM) casting, aluminum","Aluminum, cast, semi-permanent mold (SPM), at plant@Semi-permanent mold (SPM) casting, aluminum@Northern America",Northern America
"Aluminum, cold rolling, at plant","Aluminum, cold rolling, at plant@Aluminum, cold rolling, at plant","Aluminum, cold rolling, at plant@Aluminum, cold rolling, at plant@Northern America",Northern America
"Aluminum, hot rolling, at plant","Aluminum, hot rolling, at plant@Aluminum, hot rolling, at plant","Aluminum, hot rolling, at plant@Aluminum, hot rolling, at plant@Northern America",Northern America
