process,product,location,unit,value,input,source,year,stage,
"acrylic acid, bio-based","acrylic acid, bio-based",US,kg,1,FALSE,MFI,2019,"PET, upcycling",material
"acrylic acid, bio-based",ammonia,US,kg,0.018258,TRUE,MFI,2019,"PET, upcycling",material
"acrylic acid, bio-based",ammonium sulfate,US,kg,0.000393,TRUE,MFI,2019,"PET, upcycling",material
"acrylic acid, bio-based",corn oil,US,kg,0.000312,TRUE,MFI,2019,"PET, upcycling",material
"acrylic acid, bio-based","corn steep liquor, 50%",US,kg,0.036467,TRUE,MFI,2019,"PET, upcycling",material
"acrylic acid, bio-based",corn stover,US,kg,1.5036,TRUE,MFI,2019,"PET, upcycling",material
"acrylic acid, bio-based",diammonium phosphate,US,kg,0.048044,TRUE,MFI,2019,"PET, upcycling",material
"acrylic acid, bio-based",electricity,US,kWh,0.2888,TRUE,MFI,2019,"PET, upcycling",energy
"acrylic acid, bio-based",ethanol,US,kg,0.002177,TRUE,MFI,2019,"PET, upcycling",material
"acrylic acid, bio-based",glucose,US,kg,0.056433,TRUE,MFI,2019,"PET, upcycling",material
"acrylic acid, bio-based",lime,US,kg,0.004639,TRUE,MFI,2019,"PET, upcycling",material
"acrylic acid, bio-based",magnesium sulfate,US,kg,0.000393,TRUE,MFI,2019,"PET, upcycling",material
"acrylic acid, bio-based",natural gas,US,m3,0.00106,TRUE,MFI,2019,"PET, upcycling",energy
"acrylic acid, bio-based",potassium sulfate,US,kg,0.000393,TRUE,MFI,2019,"PET, upcycling",material
"acrylic acid, bio-based",sodium hydroxide,US,kg,0.09819,TRUE,MFI,2019,"PET, upcycling",material
"acrylic acid, bio-based",sulfur dioxide,US,kg,0.000776,TRUE,MFI,2019,"PET, upcycling",material
"acrylic acid, bio-based",sulfuric acid,US,kg,0.04123,TRUE,MFI,2019,"PET, upcycling",material
"acrylic acid, bio-based",water,US,kg,6.279,TRUE,MFI,2019,"PET, upcycling",material
"Aluminum ingot, production mix, at plant",aluminum,RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"Aluminum ingot, production mix, at plant","Aluminum ingot, production mix, at plant",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
"Ammonia, steam reforming, liquid, at plant",ammonia,RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"Ammonia, steam reforming, liquid, at plant","Ammonia, steam reforming, liquid, at plant",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
"Calcium carbonate, ground, 30 micron, at plant",calcium carbonate,RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"Calcium carbonate, ground, 30 micron, at plant","Calcium carbonate, ground, 30 micron, at plant",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
"Cold rolled sheet, steel, at plant",steel,RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"Cold rolled sheet, steel, at plant","Cold rolled sheet, steel, at plant",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
concrete,concrete,RNA,m3,0.00042,FALSE,GREET2019,2019,"concrete, in use",material
concrete,"coal, raw",RNA,kg,0.0096291,TRUE,GREET2019,2019,"concrete, in use",energy
concrete,diesel,RNA,L,0.000274,TRUE,GREET2019,2019,"concrete, in use",energy
concrete,electricity,RNA,kWh,0.01470528,TRUE,GREET2019,2019,"concrete, in use",energy
concrete,gasoline,RNA,L,0.00001197,TRUE,GREET2019,2019,"concrete, in use",energy
concrete,lime,RNA,kg,0.123291,TRUE,GREET2019,2019,"concrete, in use",material
concrete,liquefied petroleum gas,RNA,MJ,3.15E-07,TRUE,GREET2019,2019,"concrete, in use",energy
concrete,natural gas,RNA,m3,0.0006243,TRUE,GREET2019,2019,"concrete, in use",energy
concrete,residual oil,RNA,L,5.14E-08,TRUE,GREET2019,2019,"concrete, in use",energy
concrete,sand and gravel,RNA,kg,0.84,TRUE,GREET2019,2019,"concrete, in use",material
"Corn stover, production, average, US, 2022",corn stover,RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"Corn stover, production, average, US, 2022","Corn stover, production, average, US, 2022",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
"Crude oil, extracted",crude oil,RNA,L,1,FALSE,USLCI,2019,extraction and production,
"Crude oil, extracted","Crude oil, extracted",RNA,L,1,TRUE,USLCI,2019,extraction and production,
"Diesel, combusted in industrial boiler",diesel,RNA,L,1,FALSE,USLCI,2019,extraction and production,
"Diesel, combusted in industrial boiler","Diesel, combusted in industrial boiler",RNA,L,1,TRUE,USLCI,2019,extraction and production,
"E-glass, at plant",glass,RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"E-glass, at plant","E-glass, at plant",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
"Ethanol, 85%, at blending terminal, 2022",ethanol,RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"Ethanol, 85%, at blending terminal, 2022","Ethanol, 85%, at blending terminal, 2022",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
"Ethylene glycol, materials production, organic compound, at plant, kg",ethylene glycol,RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"Ethylene glycol, materials production, organic compound, at plant, kg","Ethylene glycol, materials production, organic compound, at plant, kg",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
"fiber reinforced resin, virgin",virgin fiber-reinforced resin,US,kg,1,FALSE,MFI,2019,"fiber reinforced resin, virgin",material
"fiber reinforced resin, virgin",concrete,US,m3,5.85E-07,TRUE,estimate,2019,"fiber reinforced resin, virgin",material
"fiber reinforced resin, virgin",diesel,US,L,0.0015,TRUE,MFI,2019,"fiber reinforced resin, virgin",energy
"fiber reinforced resin, virgin",electricity,US,kWh,1.1,TRUE,MFI,2019,"fiber reinforced resin, virgin",energy
"fiber reinforced resin, virgin",glass fiber,US,kg,0.4,TRUE,MFI,2019,"fiber reinforced resin, virgin",material
"fiber reinforced resin, virgin",heat,US,MJ,2.42E-02,TRUE,estimate,2019,"fiber reinforced resin, virgin",energy
"fiber reinforced resin, virgin",liquid petroleum gas,US,L,0.0241,TRUE,MFI,2019,"fiber reinforced resin, virgin",energy
"fiber reinforced resin, virgin",natural gas,US,m3,0.00175,TRUE,MFI,2019,"fiber reinforced resin, virgin",energy
"fiber reinforced resin, virgin","polyester, unsaturated",US,kg,0.6,TRUE,MFI,2019,"fiber reinforced resin, virgin",material
"fiber reinforced resin, virgin",steel,US,kg,3.40E-03,TRUE,estimate,2019,"fiber reinforced resin, virgin",material
"fiber reinforced resin, virgin",water,US,kg,7.4,TRUE,MFI,2019,"fiber reinforced resin, virgin",material
