state,process,product,location,unit,value,input,source,year,stage
AL,electricity,"Electricity, anthracite coal, at power plant",US,kWh,0.054735953,TRUE,REEDS,2020,upstream
AL,electricity,"Electricity, biomass, at power plant",US,kWh,0.000197991,TRUE,REEDS,2020,upstream
AL,electricity,"Electricity, bituminous coal, at power plant",US,kWh,0.054735953,TRUE,REEDS,2020,upstream
AL,electricity,"Electricity, diesel, at power plant",US,kWh,0.0,TRUE,REEDS,2020,upstream
AL,electricity,"Electricity, geothermal, at power plant",US,kWh,0.0,TRUE,REEDS,2020,upstream
AL,electricity,"Electricity, hydro, at power plant",US,kWh,0.055281415,TRUE,REEDS,2020,upstream
AL,electricity,"Electricity, lignite coal, at power plant",US,kWh,0.054735953,TRUE,REEDS,2020,upstream
AL,electricity,"Electricity, natural gas, at power plant",US,kWh,0.47904244,TRUE,REEDS,2020,upstream
AL,electricity,"Electricity, nuclear, at power plant",US,kWh,0.298309891,TRUE,REEDS,2020,upstream
AL,electricity,"Electricity, solar, at power plant",US,kWh,0.002960405,TRUE,REEDS,2020,upstream
AL,electricity,"Electricity, wind, at power plant",US,kWh,0.0,TRUE,REEDS,2020,upstream
AL,electricity,electricity,US,kWh,1.0,FALSE,REEDS,2020,upstream
AL,electricity,"Electricity, anthracite coal, at power plant",US,kWh,0.057909436999999994,TRUE,REEDS,2021,upstream
AL,electricity,"Electricity, biomass, at power plant",US,kWh,0.000197097,TRUE,REEDS,2021,upstream
AL,electricity,"Electricity, bituminous coal, at power plant",US,kWh,0.057909436999999994,TRUE,REEDS,2021,upstream
AL,electricity,"Electricity, diesel, at power plant",US,kWh,0.0,TRUE,REEDS,2021,upstream
AL,electricity,"Electricity, geothermal, at power plant",US,kWh,0.0,TRUE,REEDS,2021,upstream
AL,electricity,"Electricity, hydro, at power plant",US,kWh,0.0550261485,TRUE,REEDS,2021,upstream
AL,electricity,"Electricity, lignite coal, at power plant",US,kWh,0.057909436999999994,TRUE,REEDS,2021,upstream
AL,electricity,"Electricity, natural gas, at power plant",US,kWh,0.469871888,TRUE,REEDS,2021,upstream
AL,electricity,"Electricity, nuclear, at power plant",US,kWh,0.296963199,TRUE,REEDS,2021,upstream
AL,electricity,"Electricity, solar, at power plant",US,kWh,0.0042133555,TRUE,REEDS,2021,upstream
AL,electricity,"Electricity, wind, at power plant",US,kWh,0.0,TRUE,REEDS,2021,upstream
AL,electricity,electricity,US,kWh,1.0,FALSE,REEDS,2021,upstream
AL,electricity,"Electricity, anthracite coal, at power plant",US,kWh,0.061082921,TRUE,REEDS,2022,upstream
AL,electricity,"Electricity, biomass, at power plant",US,kWh,0.000196203,TRUE,REEDS,2022,upstream
AL,electricity,"Electricity, bituminous coal, at power plant",US,kWh,0.061082921,TRUE,REEDS,2022,upstream
AL,electricity,"Electricity, diesel, at power plant",US,kWh,0.0,TRUE,REEDS,2022,upstream
AL,electricity,"Electricity, geothermal, at power plant",US,kWh,0.0,TRUE,REEDS,2022,upstream
AL,electricity,"Electricity, hydro, at power plant",US,kWh,0.054770882,TRUE,REEDS,2022,upstream
AL,electricity,"Electricity, lignite coal, at power plant",US,kWh,0.061082921,TRUE,REEDS,2022,upstream
AL,electricity,"Electricity, natural gas, at power plant",US,kWh,0.460701336,TRUE,REEDS,2022,upstream
AL,electricity,"Electricity, nuclear, at power plant",US,kWh,0.295616507,TRUE,REEDS,2022,upstream
AL,electricity,"Electricity, solar, at power plant",US,kWh,0.005466306,TRUE,REEDS,2022,upstream
AL,electricity,"Electricity, wind, at power plant",US,kWh,0.0,TRUE,REEDS,2022,upstream
AL,electricity,electricity,US,kWh,1.0,FALSE,REEDS,2022,upstream
AL,electricity,"Electricity, anthracite coal, at power plant",US,kWh,0.0681621965,TRUE,REEDS,2023,upstream
AL,electricity,"Electricity, biomass, at power plant",US,kWh,0.000204374,TRUE,REEDS,2023,upstream
AL,electricity,"Electricity, bituminous coal, at power plant",US,kWh,0.0681621965,TRUE,REEDS,2023,upstream
AL,electricity,"Electricity, diesel, at power plant",US,kWh,0.0,TRUE,REEDS,2023,upstream
AL,electricity,"Electricity, geothermal, at power plant",US,kWh,0.0,TRUE,REEDS,2023,upstream
AL,electricity,"Electricity, hydro, at power plant",US,kWh,0.057039954500000004,TRUE,REEDS,2023,upstream
AL,electricity,"Electricity, lignite coal, at power plant",US,kWh,0.0681621965,TRUE,REEDS,2023,upstream
AL,electricity,"Electricity, natural gas, at power plant",US,kWh,0.42416885049999997,TRUE,REEDS,2023,upstream
AL,electricity,"Electricity, nuclear, at power plant",US,kWh,0.30792723499999997,TRUE,REEDS,2023,upstream
AL,electricity,"Electricity, solar, at power plant",US,kWh,0.0061729955,TRUE,REEDS,2023,upstream
AL,electricity,"Electricity, wind, at power plant",US,kWh,0.0,TRUE,REEDS,2023,upstream
AL,electricity,electricity,US,kWh,1.0,FALSE,REEDS,2023,upstream
AL,electricity,"Electricity, anthracite coal, at power plant",US,kWh,0.075241472,TRUE,REEDS,2024,upstream
AL,electricity,"Electricity, biomass, at power plant",US,kWh,0.000212545,TRUE,REEDS,2024,upstream
AL,electricity,"Electricity, bituminous coal, at power plant",US,kWh,0.075241472,TRUE,REEDS,2024,upstream
AL,electricity,"Electricity, diesel, at power plant",US,kWh,0.0,TRUE,REEDS,2024,upstream
AL,electricity,"Electricity, geothermal, at power plant",US,kWh,0.0,TRUE,REEDS,2024,upstream
AL,electricity,"Electricity, hydro, at power plant",US,kWh,0.059309027,TRUE,REEDS,2024,upstream
AL,electricity,"Electricity, lignite coal, at power plant",US,kWh,0.075241472,TRUE,REEDS,2024,upstream
AL,electricity,"Electricity, natural gas, at power plant",US,kWh,0.387636365,TRUE,REEDS,2024,upstream
AL,electricity,"Electricity, nuclear, at power plant",US,kWh,0.320237963,TRUE,REEDS,2024,upstream
