,process,flow_quantity,year,unit,p.flow.quantity,region
0,"PET, residual oil displaced",0.0,2020,kg,0.0,AL
1,"PET, fiber, displacement",0.0,2020,kg,0.0,AL
2,"PET, electricity displaced",2414571.469660188,2020,kWh,2414571.469660188,AL
3,"PET, resin displaced by downcycling",0.0,2020,kg,0.0,AL
0,"PET, residual oil displaced",0.0,2021,kg,0.0,AL
1,"PET, fiber, displacement",0.0,2021,kg,0.0,AL
2,"PET, electricity displaced",2471541.0424341857,2021,kWh,2471541.0424341857,AL
3,"PET, resin displaced by downcycling",0.0,2021,kg,0.0,AL
0,"PET, residual oil displaced",0.0,2022,kg,0.0,AL
1,"PET, fiber, displacement",0.0,2022,kg,0.0,AL
2,"PET, electricity displaced",2545482.8724740455,2022,kWh,2545482.8724740455,AL
3,"PET, resin displaced by downcycling",0.0,2022,kg,0.0,AL
0,"PET, residual oil displaced",0.0,2023,kg,0.0,AL
1,"PET, fiber, displacement",0.0,2023,kg,0.0,AL
2,"PET, electricity displaced",2614082.2865249137,2023,kWh,2614082.2865249137,AL
3,"PET, resin displaced by downcycling",0.0,2023,kg,0.0,AL
0,"PET, residual oil displaced",0.0,2024,kg,0.0,AL
1,"PET, fiber, displacement",0.0,2024,kg,0.0,AL
2,"PET, electricity displaced",2691958.459961411,2024,kWh,2691958.459961411,AL
3,"PET, resin displaced by downcycling",0.0,2024,kg,0.0,AL
0,"PET, residual oil displaced",0.0,2025,kg,0.0,AL
1,"PET, fiber, displacement",0.0,2025,kg,0.0,AL
2,"PET, electricity displaced",2773018.8185533965,2025,kWh,2773018.8185533965,AL
3,"PET, resin displaced by downcycling",0.0,2025,kg,0.0,AL
0,"PET, residual oil displaced",0.0,2026,kg,0.0,AL
1,"PET, fiber, displacement",0.0,2026,kg,0.0,AL
2,"PET, electricity displaced",2831888.415047995,2026,kWh,2831888.415047995,AL
3,"PET, resin displaced by downcycling",0.0,2026,kg,0.0,AL
0,"PET, residual oil displaced",0.0,2027,kg,0.0,AL
1,"PET, fiber, displacement",0.0,2027,kg,0.0,AL
