,Equipment,Fraction of equipment capacity utilized ,Rated motor capacity (kW),Diesel use(L/t),ops_list,total_flow,time,electricity kwh,region
0,vacuum,0.85,5.0,0,vacuum,4235.178642784917,141.17262142616391,830.4271848597878,Maryland_Dorchester
1,disc_screen1,0.85,8.5,0,disc_screen1,4130.415834523001,141.17262142616391,1411.7262142616391,Maryland_Dorchester
2,disc_screen2,0.85,5.5,0,disc_screen2,3086.1991200765206,141.17262142616391,913.4699033457665,Maryland_Dorchester
3,glass_breaker,0.85,30.0,0,glass_breaker,3527.4932396181202,141.17262142616391,4982.563109158727,Maryland_Dorchester
4,nir_hdpe,0.85,13.0,0,nir_hdpe,939.4551950286184,141.17262142616391,2159.1106806354483,Maryland_Dorchester
5,nir_pet,0.85,40.0,0,nir_pet,1302.1122383945594,141.17262142616391,6643.417478878302,Maryland_Dorchester
6,magnet,0.85,4.0,0,magnet,722.275247900826,141.17262142616391,664.3417478878303,Maryland_Dorchester
7,eddy,0.85,9.0,0,eddy,928.9105287930909,141.17262142616391,1494.7689327476178,Maryland_Dorchester
0,vacuum,0.85,5.0,0,vacuum,13163.968214997882,438.7989404999294,2581.170238234879,Michigan_Berrien
1,disc_screen1,0.85,8.5,0,disc_screen1,12950.34418243107,438.7989404999294,4387.9894049992945,Michigan_Berrien
2,disc_screen2,0.85,5.5,0,disc_screen2,6174.544769591619,438.7989404999294,2839.2872620583667,Michigan_Berrien
3,glass_breaker,0.85,30.0,0,glass_breaker,8506.70316378202,438.7989404999294,15487.021429409275,Michigan_Berrien
4,nir_hdpe,0.85,13.0,0,nir_hdpe,3639.701403525934,438.7989404999294,6711.042619410686,Michigan_Berrien
5,nir_pet,0.85,40.0,0,nir_pet,4958.391221169183,438.7989404999294,20649.361905879032,Michigan_Berrien
6,magnet,0.85,4.0,0,magnet,2781.8231693355265,438.7989404999294,2064.936190587903,Michigan_Berrien
7,eddy,0.85,9.0,0,eddy,3625.9539129499403,438.7989404999294,4646.106428822782,Michigan_Berrien
0,vacuum,0.85,5.0,0,vacuum,21203.332745181644,706.7777581727215,4157.516224545421,Texas_Lubbock
1,disc_screen1,0.85,8.5,0,disc_screen1,20817.65719965801,706.7777581727215,7067.777581727215,Texas_Lubbock
2,disc_screen2,0.85,5.5,0,disc_screen2,11602.719522918245,706.7777581727215,4573.267846999963,Texas_Lubbock
3,glass_breaker,0.85,30.0,0,glass_breaker,12408.855136215994,706.7777581727215,24945.097347272527,Texas_Lubbock
4,nir_hdpe,0.85,13.0,0,nir_hdpe,6064.727178120194,706.7777581727215,10809.542183818094,Texas_Lubbock
5,nir_pet,0.85,40.0,0,nir_pet,8749.913315577525,706.7777581727215,33260.12979636337,Texas_Lubbock
6,magnet,0.85,4.0,0,magnet,4333.018383002394,706.7777581727215,3326.0129796363367,Texas_Lubbock
7,eddy,0.85,9.0,0,eddy,6047.784506455595,706.7777581727215,7483.529204181757,Texas_Lubbock
0,vacuum,0.85,5.0,0,vacuum,14537.31679441126,484.5772264803753,2850.4542734139727,Louisiana_Calcasieu
1,disc_screen1,0.85,8.5,0,disc_screen1,14261.847619446235,484.5772264803753,4845.772264803753,Louisiana_Calcasieu
2,disc_screen2,0.85,5.5,0,disc_screen2,7561.655949794283,484.5772264803753,3135.4997007553698,Louisiana_Calcasieu
3,glass_breaker,0.85,30.0,0,glass_breaker,7747.212467807433,484.5772264803753,17102.725640483837,Louisiana_Calcasieu
4,nir_hdpe,0.85,13.0,0,nir_hdpe,3554.192775927842,484.5772264803753,7411.181110876329,Louisiana_Calcasieu
5,nir_pet,0.85,40.0,0,nir_pet,5356.535397783224,484.5772264803753,22803.63418731178,Louisiana_Calcasieu
6,magnet,0.85,4.0,0,magnet,2714.720657445848,484.5772264803753,2280.363418731178,Louisiana_Calcasieu
7,eddy,0.85,9.0,0,eddy,3552.1081601478227,484.5772264803753,5130.81769214515,Louisiana_Calcasieu
0,vacuum,0.85,5.0,0,vacuum,3295.328611947027,109.84428706490091,646.1428650876525,Minnesota_Freeborn
1,disc_screen1,0.85,8.5,0,disc_screen1,3242.285259263932,109.84428706490091,1098.4428706490091,Minnesota_Freeborn
2,disc_screen2,0.85,5.5,0,disc_screen2,1210.295686635897,109.84428706490091,710.7571515964177,Minnesota_Freeborn
3,glass_breaker,0.85,30.0,0,glass_breaker,1899.810708664047,109.84428706490091,3876.8571905259146,Minnesota_Freeborn
4,nir_hdpe,0.85,13.0,0,nir_hdpe,704.8290047042,109.84428706490091,1679.9714492278963,Minnesota_Freeborn
5,nir_pet,0.85,40.0,0,nir_pet,866.0897353464085,109.84428706490091,5169.14292070122,Minnesota_Freeborn
6,magnet,0.85,4.0,0,magnet,580.843041421873,109.84428706490091,516.914292070122,Minnesota_Freeborn
7,eddy,0.85,9.0,0,eddy,701.5071828948354,109.84428706490091,1163.0571571577743,Minnesota_Freeborn
0,vacuum,0.85,5.0,0,vacuum,107822.67839970913,3594.089279990304,21141.70164700179,Maryland_Baltimore
1,disc_screen1,0.85,8.5,0,disc_screen1,105155.54023713863,3594.089279990304,35940.89279990304,Maryland_Baltimore
2,disc_screen2,0.85,5.5,0,disc_screen2,78571.00804198004,3594.089279990304,23255.871811701967,Maryland_Baltimore
3,glass_breaker,0.85,30.0,0,glass_breaker,89805.83848108724,3594.089279990304,126850.20988201073,Maryland_Baltimore
4,nir_hdpe,0.85,13.0,0,nir_hdpe,23917.42684504535,3594.089279990304,54968.42428220465,Maryland_Baltimore
5,nir_pet,0.85,40.0,0,nir_pet,33150.24960279389,3594.089279990304,169133.61317601433,Maryland_Baltimore
6,magnet,0.85,4.0,0,magnet,18388.28024483781,3594.089279990304,16913.36131760143,Maryland_Baltimore
7,eddy,0.85,9.0,0,eddy,23648.972016514686,3594.089279990304,38055.06296460322,Maryland_Baltimore
0,vacuum,0.85,5.0,0,vacuum,1496.775434508039,49.8925144836013,293.4853793153018,Tennessee_Morgan
1,disc_screen1,0.85,8.5,0,disc_screen1,1471.3292212457345,49.8925144836013,498.92514483601303,Tennessee_Morgan
2,disc_screen2,0.85,5.5,0,disc_screen2,761.2496708936751,49.8925144836013,322.83391724683196,Tennessee_Morgan
3,glass_breaker,0.85,30.0,0,glass_breaker,808.3861144523751,49.8925144836013,1760.9122758918109,Tennessee_Morgan
4,nir_hdpe,0.85,13.0,0,nir_hdpe,427.97089720119595,49.8925144836013,763.0619862197847,Tennessee_Morgan
5,nir_pet,0.85,40.0,0,nir_pet,656.3166398773371,49.8925144836013,2347.8830345224146,Tennessee_Morgan
6,magnet,0.85,4.0,0,magnet,308.88879068419095,49.8925144836013,234.78830345224142,Tennessee_Morgan
7,eddy,0.85,9.0,0,eddy,427.3460324318814,49.8925144836013,528.2736827675432,Tennessee_Morgan
0,vacuum,0.85,5.0,0,vacuum,6915.441943199769,230.51473143999232,1355.969008470543,Wisconsin_Chippewa
1,disc_screen1,0.85,8.5,0,disc_screen1,6795.172651080302,230.51473143999232,2305.1473143999233,Wisconsin_Chippewa
2,disc_screen2,0.85,5.5,0,disc_screen2,3771.9435877546907,230.51473143999232,1491.5659093175973,Wisconsin_Chippewa
3,glass_breaker,0.85,30.0,0,glass_breaker,4874.826898828691,230.51473143999232,8135.814050823259,Wisconsin_Chippewa
4,nir_hdpe,0.85,13.0,0,nir_hdpe,1320.9892902801942,230.51473143999232,3525.519422023412,Wisconsin_Chippewa
5,nir_pet,0.85,40.0,0,nir_pet,1914.997421933747,230.51473143999232,10847.752067764344,Wisconsin_Chippewa
6,magnet,0.85,4.0,0,magnet,1065.2124944794823,230.51473143999232,1084.7752067764345,Wisconsin_Chippewa
7,eddy,0.85,9.0,0,eddy,1313.2205908484962,230.51473143999232,2440.7442152469775,Wisconsin_Chippewa
0,vacuum,0.85,5.0,0,vacuum,1032.992386246403,34.43307954154677,202.547526714981,Nevada_Pershing
1,disc_screen1,0.85,8.5,0,disc_screen1,1012.1641233120812,34.43307954154677,344.33079541546766,Nevada_Pershing
2,disc_screen2,0.85,5.5,0,disc_screen2,735.4581713077105,34.43307954154677,222.80227938647909,Nevada_Pershing
3,glass_breaker,0.85,30.0,0,glass_breaker,766.3714980862104,34.43307954154677,1215.285160289886,Nevada_Pershing
4,nir_hdpe,0.85,13.0,0,nir_hdpe,149.24978187770725,34.43307954154677,526.6235694589506,Nevada_Pershing
5,nir_pet,0.85,40.0,0,nir_pet,201.78877333312892,34.43307954154677,1620.380213719848,Nevada_Pershing
6,magnet,0.85,4.0,0,magnet,123.57194598187223,34.43307954154677,162.0380213719848,Nevada_Pershing
7,eddy,0.85,9.0,0,eddy,149.05500405187544,34.43307954154677,364.5855480869658,Nevada_Pershing
0,vacuum,0.85,5.0,0,vacuum,640.5971040292407,21.35323680097469,125.60727529985111,Georgia_Oglethorpe
1,disc_screen1,0.85,8.5,0,disc_screen1,628.2962374771682,21.35323680097469,213.53236800974688,Georgia_Oglethorpe
2,disc_screen2,0.85,5.5,0,disc_screen2,295.75826620481365,21.35323680097469,138.1680028298362,Georgia_Oglethorpe
3,glass_breaker,0.85,30.0,0,glass_breaker,340.6261485214136,21.35323680097469,753.6436517991067,Georgia_Oglethorpe
4,nir_hdpe,0.85,13.0,0,nir_hdpe,165.6349157179917,21.35323680097469,326.5789157796129,Georgia_Oglethorpe
5,nir_pet,0.85,40.0,0,nir_pet,242.39916509987393,21.35323680097469,1004.8582023988089,Georgia_Oglethorpe
6,magnet,0.85,4.0,0,magnet,127.20104303387312,21.35323680097469,100.4858202398809,Georgia_Oglethorpe
7,eddy,0.85,9.0,0,eddy,165.19420537064804,21.35323680097469,226.093095539732,Georgia_Oglethorpe
0,vacuum,0.85,5.0,0,vacuum,1684.2743232279731,56.14247744093244,330.2498672996026,Indiana_Franklin
1,disc_screen1,0.85,8.5,0,disc_screen1,1648.5038953281057,56.14247744093244,561.4247744093244,Indiana_Franklin
2,disc_screen2,0.85,5.5,0,disc_screen2,919.1922989856824,56.14247744093244,363.27485402956285,Indiana_Franklin
3,glass_breaker,0.85,30.0,0,glass_breaker,1095.1298709408825,56.14247744093244,1981.4992037976156,Indiana_Franklin
4,nir_hdpe,0.85,13.0,0,nir_hdpe,373.7302878299333,56.14247744093244,858.6496549789667,Indiana_Franklin
5,nir_pet,0.85,40.0,0,nir_pet,547.0468845985197,56.14247744093244,2641.998938396821,Indiana_Franklin
6,magnet,0.85,4.0,0,magnet,289.73801909611495,56.14247744093244,264.1998938396821,Indiana_Franklin
7,eddy,0.85,9.0,0,eddy,372.2037913164387,56.14247744093244,594.4497611392846,Indiana_Franklin
0,vacuum,0.85,5.0,0,vacuum,1319.0108959679508,43.967029865598356,258.62958744469626,Georgia_Terrell
1,disc_screen1,0.85,8.5,0,disc_screen1,1293.6829996818465,43.967029865598356,439.6702986559836,Georgia_Terrell
2,disc_screen2,0.85,5.5,0,disc_screen2,608.9761774491756,43.967029865598356,284.49254618916586,Georgia_Terrell
3,glass_breaker,0.85,30.0,0,glass_breaker,701.3606501268756,43.967029865598356,1551.7775246681774,Georgia_Terrell
4,nir_hdpe,0.85,13.0,0,nir_hdpe,341.0478399146678,43.967029865598356,672.4369273562102,Georgia_Terrell
5,nir_pet,0.85,40.0,0,nir_pet,499.108000846775,43.967029865598356,2069.03669955757,Georgia_Terrell
6,magnet,0.85,4.0,0,magnet,261.9112085972033,43.967029865598356,206.90366995575698,Georgia_Terrell
7,eddy,0.85,9.0,0,eddy,340.1404025465376,43.967029865598356,465.5332574004532,Georgia_Terrell
0,vacuum,0.85,5.0,0,vacuum,383.2946715017153,12.776489050057176,75.15581794151281,West Virginia_Wirt
1,disc_screen1,0.85,8.5,0,disc_screen1,376.5135977161941,12.776489050057176,127.76489050057177,West Virginia_Wirt
2,disc_screen2,0.85,5.5,0,disc_screen2,171.87121205663118,12.776489050057176,82.67139973566408,West Virginia_Wirt
3,glass_breaker,0.85,30.0,0,glass_breaker,173.9658913354112,12.776489050057176,450.9349076490768,West Virginia_Wirt
4,nir_hdpe,0.85,13.0,0,nir_hdpe,101.59050665268173,12.776489050057176,195.4051266479333,West Virginia_Wirt
5,nir_pet,0.85,40.0,0,nir_pet,162.27627137855285,12.776489050057176,601.2465435321025,West Virginia_Wirt
6,magnet,0.85,4.0,0,magnet,77.89394397992267,12.776489050057176,60.12465435321024,West Virginia_Wirt
7,eddy,0.85,9.0,0,eddy,101.50589335424709,12.776489050057176,135.28047229472304,West Virginia_Wirt
0,vacuum,0.85,5.0,0,vacuum,2059.381192749696,68.6460397583232,403.80023387248946,Indiana_Posey
1,disc_screen1,0.85,8.5,0,disc_screen1,2015.6442875094533,68.6460397583232,686.460397583232,Indiana_Posey
2,disc_screen2,0.85,5.5,0,disc_screen2,1123.9067810661209,68.6460397583232,444.18025725973837,Indiana_Posey
