year,vmanuf_to_use,use_to_dispose,dispose_to_landfill,dispose_to_collection,dispose_to_mrf,dispose_to_wte_uncollected,dispose_to_wte_collected,mrf_to_m_reclaimer,mrf_to_c_reclaimer,mrf_to_c_upcycler,mrf_to_ppo_reclaimer,mrf_to_frp_reclaimer,mrf_to_landfill,m_reclaimer_to_manuf,m_reclaimer_to_landfill,c_reclaimer_to_manuf,c_reclaimer_to_landfill,rmanuf_to_use,rmanuf_to_landfill,cl_recycled,downcycled,wte_energy,pyrolysis_fuel_oil,fiber_reinforced_resin,plastic_demand_data,total_bale_quantity,total_bale_quantity_mechanical_reclaimer,total_bale_quantity_chemical_reclaimer,total_bale_quantity_upcycling_reclaimer,total_bale_quantity_pyrolysis_reclaimer,total_bale_quantity_fiber_reinforced_resin_reclaimer,landfill,cl_circularity,ol_circularity,u_circularity_ppo,u_circularity_frp,u_circularity,wte_circularity,linear_flow_index,material_circularity_index_recycling,material_circularity_index_downcycling,material_circularity_index_pyrolysis,material_circularity_index_fiber_reinforced_resin,material_circularity_index_incineration,utility_factor_incineration,utility_factor_recycling,utility_factor_downcycling,utility_factor_pyrolysis,utility_fiber_reinforced_resin,material_circularity_index,scenario,region
2020,92.80202490976248,101.35617136799935,79.02233900706071,13.553572471265243,13.553572471265243,8.780259889673411,0.0,0.0,12.333750948851371,0.0,0.0,0.0,1.2198215224138718,0.0,0.0,9.373650721127042,2.960100227724329,9.373650721127042,0.0,9.373650721127042,0.0,2414571.469660188,0.0,0.0,7215.199999999953,20.689731305358233,0.0,20.689731305358233,0.0,0.0,0.0,83.20226075719891,0.09248228888888886,0.0,0.0,0.0,0.0,0.08662777777777779,0.7396010911774316,0.33435901794031153,0.11247869058708204,0.0,0.9667179508970156,0.0,0.6,1.0,0.75,0.65,20.0,0.030922287289761066,chemical recycling,AL
2021,95.63861169190272,103.96213978889948,80.88679775239152,14.087920064020016,14.087920064020016,8.987421972487947,0.0,0.0,12.820007258258213,0.0,0.0,0.0,1.267912805761803,0.0,0.0,9.743205516276243,3.0768017419819707,9.743205516276243,0.0,9.743205516276243,0.0,2471541.0424341857,0.0,0.0,7400.709999999963,21.505420906103712,0.0,21.505420906103712,0.0,0.0,0.0,85.2315123001353,0.0937187858585859,0.0,0.0,0.0,0.0,0.0864489898989899,0.734010193178305,0.33939082613952554,0.11918776818603405,0.0,0.9669695413069763,0.0,0.6,1.0,0.75,0.65,20.0,0.03180729615733875,chemical recycling,AL
2022,97.90134823099608,106.5681082097996,83.30671219005967,14.005094665288867,14.005094665288867,9.256301354451073,0.0,0.0,12.74463614541287,0.0,0.0,0.0,1.260458519875998,0.0,0.0,9.685923470513782,3.0587126748990876,9.685923470513782,0.0,9.685923470513782,0.0,2545482.8724740455,0.0,0.0,7586.219999999972,21.37898669485499,0.0,21.37898669485499,0.0,0.0,0.0,87.62588338483475,0.09088951313131315,0.0,0.0,0.0,0.0,0.0868580808080808,0.7411383616031108,0.33297547455720033,0.11063396607626708,0.0,0.9666487737278601,0.0,0.6,1.0,0.75,0.65,20.0,0.030263978767171885,chemical recycling,AL
2023,100.59092161100111,109.17407663069974,85.55178392263355,14.116538938884704,14.116538938884704,9.505753769181505,0.0,0.0,12.846050434385083,0.0,0.0,0.0,1.270488504499621,0.0,0.0,9.762998330132662,3.0830521042524204,9.762998330132662,0.0,9.762998330132662,0.0,2614082.2865249137,0.0,0.0,7771.729999999981,21.549108047074654,0.0,21.549108047074654,0.0,0.0,0.0,89.90532453138559,0.08942597575757566,0.0,0.0,0.0,0.0,0.08706969696969699,0.7426234707210313,0.3316388763510718,0.10885183513476238,0.0,0.9665819438175536,0.0,0.6,1.0,0.75,0.65,20.0,0.02965713011684058,chemical recycling,AL
2024,103.14613808562478,111.78004505159987,88.10045868964617,13.890646507548563,13.890646507548563,9.78893985440513,0.0,0.0,12.640488321869194,0.0,0.0,0.0,1.2501581856793695,0.0,0.0,9.606771124620588,3.033717197248606,9.606771124620588,0.0,9.606771124620588,0.0,2691958.459961411,0.0,0.0,7957.239999999991,21.204279868513808,0.0,21.204279868513808,0.0,0.0,0.0,92.38433407257415,0.08594352525252529,0.0,0.0,0.0,0.0,0.08757323232323232,0.7495416878648046,0.32541248092167585,0.10054997456223447,0.0,0.9662706240460838,0.0,0.6,1.0,0.75,0.65,20.0,0.02796709577157895,chemical recycling,AL
2025,105.9346566253794,114.3860134725,90.75334315265661,13.548965525103764,13.548965525103764,10.083704794739624,0.0,0.0,12.329558627844426,0.0,0.0,0.0,1.2194068972593382,0.0,0.0,9.370464557161764,2.959094070682662,9.370464557161764,0.0,9.370464557161764,0.0,2773018.8185533965,0.0,0.0,8142.75,20.682698733066214,0.0,20.682698733066214,0.0,0.0,0.0,94.93184412059861,0.0819196707070708,0.0,0.0,0.0,0.0,0.0881550505050505,0.7564022073506775,0.3192380133843902,0.09231735117918694,0.0,0.9659619006692195,0.0,0.6,1.0,0.75,0.65,20.0,0.026151872933628705,chemical recycling,AL
2026,108.8032545270808,116.99198189340014,92.67998449247983,14.014221346200337,14.014221346200337,10.297776054719982,0.0,0.0,12.752941425042307,0.0,0.0,0.0,1.26127992115803,0.0,0.0,9.692235483032153,3.060705942010154,9.692235483032153,0.0,9.692235483032153,0.0,2831888.415047995,0.0,0.0,8328.26000000001,21.392918709913637,0.0,21.392918709913637,0.0,0.0,0.0,97.00197035564801,0.08284529696969704,0.0,0.0,0.0,0.0,0.08802121212121213,0.7516554309376462,0.32351011215611836,0.09801348287482448,0.0,0.966175505607806,0.0,0.6,1.0,0.75,0.65,20.0,0.026801291314273622,chemical recycling,AL
2027,111.11377493545214,119.59795031429945,95.1434312373065,13.88302671729222,13.88302671729222,10.571492359700724,0.0,0.0,12.63355431273592,0.0,0.0,0.0,1.2494724045562986,0.0,0.0,9.6015012776793,3.03205303505662,9.6015012776793,0.0,9.6015012776793,0.0,2907160.398917699,0.0,0.0,8513.76999999996,21.192648144601822,0.0,21.192648144601822,0.0,0.0,0.0,99.42495667691942,0.08028148686868691,0.0,0.0,0.0,0.0,0.08839191919191919,0.7581215605846932,0.3176905954737761,0.09025412729836813,0.0,0.9658845297736888,0.0,0.6,1.0,0.75,0.65,20.0,0.025504673368833282,chemical recycling,AL
2028,113.83680047504754,122.20391873519958,97.11378780178946,14.299710066544641,14.299710066544641,10.790420866865496,0.0,0.0,13.012736160555624,0.0,0.0,0.0,1.2869739059890168,0.0,0.0,9.889679482022274,3.1230566785333504,9.889679482022274,0.0,9.889679482022274,0.0,2967365.738388011,0.0,0.0,8699.27999999997,21.82872151593818,0.0,21.82872151593818,0.0,0.0,0.0,101.52381838631183,0.08092767878787878,0.0,0.0,0.0,0.0,0.08829848484848486,0.7549623775194686,0.3205338602324782,0.09404514697663757,0.0,0.9660266930116239,0.0,0.6,1.0,0.75,0.65,20.0,0.02594006128153283,chemical recycling,AL
2029,116.18091360494712,124.8098871560997,99.08600209555867,14.714329272145639,14.714329272145639,11.009555788395408,0.0,0.0,13.390039637652531,0.0,0.0,0.0,1.3242896344931072,0.0,0.0,10.176430124615925,3.213609513036607,10.176430124615925,0.0,10.176430124615925,0.0,3027627.8418087373,0.0,0.0,8884.789999999979,22.46164394108568,0.0,22.46164394108568,0.0,0.0,0.0,103.62390124308838,0.08153544848484852,0.0,0.0,0.0,0.0,0.08821060606060607,0.7540388990194035,0.3213649908825369,0.09515332117671582,0.0,0.9660682495441268,0.0,0.6,1.0,0.75,0.65,20.0,0.026202638658936902,chemical recycling,AL
