year,region,vmanuf_cost_of_production,collection_cost_waste_plastic,landfill_transportation_cost_waste_plastic,wte_transportation_cost_waste_plastic,mrf_transportation_cost_waste_plastic,mrf_sorting_cost_plastic,transportation_cost_mrf_to_reclaimer,mechanical_reclaiming_cost,chemical_reclaiming_cost,pyrolysis_upcycling_cost,fiber_resin_upcycling_cost,incineration_cost,landfill_costs,scenario
2020,AL,50045576.621974394,5067808.568399968,513645.20354589465,57071.68928287717,88098.22106322409,118137.5357628705,713505.7427608832,0.0,3083787.121844546,0.0,0.0,1127042.396928493,2303038.577759266,chemical recycling
2020,AR,30207216.545378026,3037615.43419998,310169.4655026199,34463.27394473555,50257.26699864198,69691.14388999161,335797.95772304275,0.0,1521793.9572822328,0.0,0.0,738720.5269175933,1386848.0873744048,chemical recycling
2020,AZ,61667382.34586486,6944875.316799955,596799.2629955163,66311.02922172403,239723.498966754,305962.8557292435,1491648.3293071503,0.0,6202060.37788985,0.0,0.0,1279357.0974767352,2856277.8654350108,chemical recycling
2020,CA,216645073.2780681,39456513.84583975,1159837.4229802038,128870.82477557819,3840638.5522033856,4501375.490543715,33998673.055739686,0.0,127644288.57412943,0.0,0.0,2256407.4088023044,9983070.301021365,chemical recycling
2020,CO,78868566.97780256,8147035.864799947,796591.9971558412,88510.22190620458,174012.44336194752,225335.1902896363,1099600.3351911178,0.0,4641817.210720477,0.0,0.0,1635140.8830263447,3620788.583412657,chemical recycling
2020,CT,26782487.90135223,4294974.426759972,179068.64118742463,19896.51568749163,359381.5186038801,451096.14280335704,2493847.037306956,0.0,10132816.305937247,0.0,0.0,469309.32741952396,1234536.097570486,chemical recycling
2020,FL,319364828.0424729,32702744.28459979,3232414.0693512545,359157.11881680606,659785.568829912,810192.2392357287,3969480.583229938,0.0,15834911.637750942,0.0,0.0,5519542.831033995,14631613.67159786,chemical recycling
2020,GA,124313371.8260199,12873702.561999917,1254486.6471303778,139387.40523670867,279707.280692903,354659.80993231846,1674220.2463553376,0.0,6923377.272446648,0.0,0.0,2414320.3153071394,5709525.377029414,chemical recycling
2020,IA,28298927.127975233,3645936.882919977,241720.73908456173,26857.859898284645,205393.1957967506,263945.973297774,1435527.6745405248,0.0,5979731.385315972,0.0,0.0,600760.5049346308,1299103.313615074,chemical recycling
2020,ID,17433491.41841594,1855039.825079988,171705.40488023288,19078.378320025873,50371.39406013969,69839.29535013586,359901.8641909835,0.0,1623348.3380502383,0.0,0.0,453437.64727004425,797354.0949132241,chemical recycling
