,process,flow_quantity,year,unit,p.flow.quantity,region
0,"PET, collection",13.553572471265243,2020,kg,6147797.059207958,AL
1,"PET, at MRF",12.333750948851371,2020,kg,5594495.323879242,AL
2,"PET, mechanical reclamation, low grade",0.0,2020,kg,0.0,AL
3,"PET, chemical reclamation",9.373650721127042,2020,kg,4251816.446148224,AL
4,"PET, pyrolysis",0.0,2020,kg,0.0,AL
5,"PET, pyrolysis combustion",0.0,2020,kg,0.0,AL
6,"PET, fiber",0.0,2020,kg,0.0,AL
7,"PET, waste to incineration",8.780259889673411,2020,kg,3982658.892572901,AL
8,"PET, transportation to reclaimer",12.333750948851371,2020,tonne-km,3276136.4616636843,AL
9,"PET, manufacture",92.80202490976248,2020,kg,42094290.4196182,AL
10,"PET, landfill",83.20226075719891,2020,kg,37739910.64621585,AL
0,"PET, collection",14.087920064020016,2021,kg,6390173.050209391,AL
1,"PET, at MRF",12.820007258258213,2021,kg,5815057.475690545,AL
2,"PET, mechanical reclamation, low grade",0.0,2021,kg,0.0,AL
3,"PET, chemical reclamation",9.743205516276243,2021,kg,4419443.681524814,AL
4,"PET, pyrolysis",0.0,2021,kg,0.0,AL
5,"PET, pyrolysis combustion",0.0,2021,kg,0.0,AL
6,"PET, fiber",0.0,2021,kg,0.0,AL
7,"PET, waste to incineration",8.987421972487947,2021,kg,4076626.0326908827,AL
8,"PET, transportation to reclaimer",12.820007258258213,2021,tonne-km,3405297.657764383,AL
9,"PET, manufacture",95.63861169190272,2021,kg,43380944.540839866,AL
10,"PET, landfill",85.2315123001353,2021,kg,38660363.66290252,AL
0,"PET, collection",14.005094665288867,2022,kg,6352604.081302734,AL
1,"PET, at MRF",12.74463614541287,2022,kg,5780869.713985488,AL
2,"PET, mechanical reclamation, low grade",0.0,2022,kg,0.0,AL
3,"PET, chemical reclamation",9.685923470513782,2022,kg,4393460.982628971,AL
4,"PET, pyrolysis",0.0,2022,kg,0.0,AL
5,"PET, pyrolysis combustion",0.0,2022,kg,0.0,AL
6,"PET, fiber",0.0,2022,kg,0.0,AL
7,"PET, waste to incineration",9.256301354451073,2022,kg,4198587.668799672,AL
8,"PET, transportation to reclaimer",12.74463614541287,2022,tonne-km,3385277.3045099014,AL
9,"PET, manufacture",97.90134823099608,2022,kg,44407304.570292816,AL
10,"PET, landfill",87.62588338483475,2022,kg,39746432.117870815,AL
0,"PET, collection",14.116538938884704,2023,kg,6403154.353485998,AL
1,"PET, at MRF",12.846050434385083,2023,kg,5826870.461672259,AL
2,"PET, mechanical reclamation, low grade",0.0,2023,kg,0.0,AL
3,"PET, chemical reclamation",9.762998330132662,2023,kg,4428421.550870917,AL
4,"PET, pyrolysis",0.0,2023,kg,0.0,AL
5,"PET, pyrolysis combustion",0.0,2023,kg,0.0,AL
6,"PET, fiber",0.0,2023,kg,0.0,AL
7,"PET, waste to incineration",9.505753769181505,2023,kg,4311737.380799471,AL
8,"PET, transportation to reclaimer",12.846050434385083,2023,tonne-km,3412215.342355275,AL
9,"PET, manufacture",100.59092161100111,2023,kg,45627274.53401821,AL
10,"PET, landfill",89.90532453138559,2023,kg,40780369.22981033,AL
0,"PET, collection",13.890646507548563,2024,kg,6300691.270191176,AL
