year,process,impacts,name,corrected_name,scenario,impact
2020,"PET, at MRF",Acidification Air (kg SO2 eq),Acidification Air (kg SO2 eq / kg substance),Acidification Air (kg SO2 eq),chemical recycling,172917.37264320737
2020,"PET, at MRF","Ecotox. CF [CTUeco], Em.agr.soilC, freshwater","Ecotox. CF [CTUeco/kg], Em.agr.soilC, freshwater","Ecotox. CF [CTUeco], Em.agr.soilC, freshwater",chemical recycling,19870.736057953945
2020,"PET, at MRF","Ecotox. CF [CTUeco], Em.airC, freshwater","Ecotox. CF [CTUeco/kg], Em.airC, freshwater","Ecotox. CF [CTUeco], Em.airC, freshwater",chemical recycling,11802.87829650134
2020,"PET, at MRF","Ecotox. CF [CTUecokg], Em.airU, freshwater","Ecotox. CF [CTUeco/kg], Em.airU, freshwater","Ecotox. CF [CTUecokg], Em.airU, freshwater",chemical recycling,12095.695461611467
2020,"PET, at MRF","Ecotox. CF [CTUecokg], Em.fr.waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.fr.waterC, freshwater","Ecotox. CF [CTUecokg], Em.fr.waterC, freshwater",chemical recycling,238407.31402909267
2020,"PET, at MRF","Ecotox. CF [CTUecokg], Em.nat.soilC, freshwater","Ecotox. CF [CTUeco/kg], Em.nat.soilC, freshwater","Ecotox. CF [CTUecokg], Em.nat.soilC, freshwater",chemical recycling,19870.736057953945
2020,"PET, at MRF","Ecotox. CF [CTUecokg], Em.sea waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.sea waterC, freshwater","Ecotox. CF [CTUecokg], Em.sea waterC, freshwater",chemical recycling,24.158143455713137
2020,"PET, at MRF",Eutrophication Air (kg N eq),Eutrophication Air (kg N eq / kg substance),Eutrophication Air (kg N eq),chemical recycling,6321.600093204906
2020,"PET, at MRF",Eutrophication Water (kg N eq ),Eutrophication Water (kg N eq / kg substance),Eutrophication Water (kg N eq ),chemical recycling,44037.72399267093
2020,"PET, at MRF",Global Warming Air (kg CO2 eq ),Global Warming Air (kg CO2 eq / kg substance),Global Warming Air (kg CO2 eq ),chemical recycling,28379942.143085755
2020,"PET, at MRF",HH Particulate Air (PM2.5 eq ),HH Particulate Air (PM2.5 eq / kg substance),HH Particulate Air (PM2.5 eq ),chemical recycling,5642.372650529232
2020,"PET, at MRF","Human health CF  [CTUcancer], Emission to cont. agric. Soil, cancer","Human health CF  [CTUcancer/kg], Emission to cont. agric. Soil, cancer","Human health CF  [CTUcancer], Emission to cont. agric. Soil, cancer",chemical recycling,0.0005639480192255635
2020,"PET, at MRF","Human health CF  [CTUcancer], Emission to cont. freshwater, cancer","Human health CF  [CTUcancer/kg], Emission to cont. freshwater, cancer","Human health CF  [CTUcancer], Emission to cont. freshwater, cancer",chemical recycling,0.0009963976023222999
2020,"PET, at MRF","Human health CF  [CTUcancer], Emission to cont. natural soil, cancer","Human health CF  [CTUcancer/kg], Emission to cont. natural soil, cancer","Human health CF  [CTUcancer], Emission to cont. natural soil, cancer",chemical recycling,0.00039837307760937703
2020,"PET, at MRF","Human health CF  [CTUcancer], Emission to cont. rural air, cancer","Human health CF  [CTUcancer/kg], Emission to cont. rural air, cancer","Human health CF  [CTUcancer], Emission to cont. rural air, cancer",chemical recycling,0.0004038882665030875
2020,"PET, at MRF","Human health CF  [CTUcancer], Emission to cont. sea water, cancer","Human health CF  [CTUcancer/kg], Emission to cont. sea water, cancer","Human health CF  [CTUcancer], Emission to cont. sea water, cancer",chemical recycling,6.105860195240949e-05
2020,"PET, at MRF","Human health CF  [CTUcancer], Emission to urban air, cancer","Human health CF  [CTUcancer/kg], Emission to urban air, cancer","Human health CF  [CTUcancer], Emission to urban air, cancer",chemical recycling,0.0012520401513088566
2020,"PET, at MRF","Human health CF  [CTUnoncancer], Emission to cont. agric. Soil, non-canc.","Human health CF  [CTUnoncancer/kg], Emission to cont. agric. Soil, non-canc.","Human health CF  [CTUnoncancer], Emission to cont. agric. Soil, non-canc.",chemical recycling,0.026298699202833745
2020,"PET, at MRF","Human health CF  [CTUnoncancer], Emission to cont. freshwater, non-canc.","Human health CF  [CTUnoncancer/kg], Emission to cont. freshwater, non-canc.","Human health CF  [CTUnoncancer], Emission to cont. freshwater, non-canc.",chemical recycling,0.013783011881789839
2020,"PET, at MRF","Human health CF  [CTUnoncancer], Emission to cont. natural soil, non-canc.","Human health CF  [CTUnoncancer/kg], Emission to cont. natural soil, non-canc.","Human health CF  [CTUnoncancer], Emission to cont. natural soil, non-canc.",chemical recycling,0.007296421870068014
2020,"PET, at MRF","Human health CF  [CTUnoncancer], Emission to cont. rural air, non-canc.","Human health CF  [CTUnoncancer/kg], Emission to cont. rural air, non-canc.","Human health CF  [CTUnoncancer], Emission to cont. rural air, non-canc.",chemical recycling,0.01254342171717064
2020,"PET, at MRF","Human health CF  [CTUnoncancer], Emission to cont. sea water, non-canc.","Human health CF  [CTUnoncancer/kg], Emission to cont. sea water, non-canc.","Human health CF  [CTUnoncancer], Emission to cont. sea water, non-canc.",chemical recycling,0.0011481952935052187
2020,"PET, at MRF","Human health CF  [CTUnoncancer], Emission to urban air, non-canc.","Human health CF  [CTUnoncancer/kg], Emission to urban air, non-canc.","Human health CF  [CTUnoncancer], Emission to urban air, non-canc.",chemical recycling,0.013026163211898992
2020,"PET, at MRF",Ozone Depletion Air (kg CFC-11 eq),Ozone Depletion Air (kg CFC-11 eq / kg substance),Ozone Depletion Air (kg CFC-11 eq),chemical recycling,4.215024102297468
2020,"PET, at MRF",Smog Air (kg O3 eq ),Smog Air (kg O3 eq / kg substance),Smog Air (kg O3 eq ),chemical recycling,3343978.787152337
2020,"PET, chemical reclamation",Acidification Air (kg SO2 eq),Acidification Air (kg SO2 eq / kg substance),Acidification Air (kg SO2 eq),chemical recycling,953444.201546374
2020,"PET, chemical reclamation","Ecotox. CF [CTUeco], Em.agr.soilC, freshwater","Ecotox. CF [CTUeco/kg], Em.agr.soilC, freshwater","Ecotox. CF [CTUeco], Em.agr.soilC, freshwater",chemical recycling,-3252735.8718874
2020,"PET, chemical reclamation","Ecotox. CF [CTUeco], Em.airC, freshwater","Ecotox. CF [CTUeco/kg], Em.airC, freshwater","Ecotox. CF [CTUeco], Em.airC, freshwater",chemical recycling,-2683678.24663784
2020,"PET, chemical reclamation","Ecotox. CF [CTUecokg], Em.airU, freshwater","Ecotox. CF [CTUeco/kg], Em.airU, freshwater","Ecotox. CF [CTUecokg], Em.airU, freshwater",chemical recycling,-2650393.4601030243
2020,"PET, chemical reclamation","Ecotox. CF [CTUecokg], Em.fr.waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.fr.waterC, freshwater","Ecotox. CF [CTUecokg], Em.fr.waterC, freshwater",chemical recycling,-2169641.428355032
2020,"PET, chemical reclamation","Ecotox. CF [CTUecokg], Em.nat.soilC, freshwater","Ecotox. CF [CTUeco/kg], Em.nat.soilC, freshwater","Ecotox. CF [CTUecokg], Em.nat.soilC, freshwater",chemical recycling,-3252735.8718874
2020,"PET, chemical reclamation","Ecotox. CF [CTUecokg], Em.sea waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.sea waterC, freshwater","Ecotox. CF [CTUecokg], Em.sea waterC, freshwater",chemical recycling,476.5450327862513
2020,"PET, chemical reclamation",Eutrophication Air (kg N eq),Eutrophication Air (kg N eq / kg substance),Eutrophication Air (kg N eq),chemical recycling,16172.409072082532
2020,"PET, chemical reclamation",Eutrophication Water (kg N eq ),Eutrophication Water (kg N eq / kg substance),Eutrophication Water (kg N eq ),chemical recycling,107294.05876324717
2020,"PET, chemical reclamation",Global Warming Air (kg CO2 eq ),Global Warming Air (kg CO2 eq / kg substance),Global Warming Air (kg CO2 eq ),chemical recycling,386540497.6911666
2020,"PET, chemical reclamation",HH Particulate Air (PM2.5 eq ),HH Particulate Air (PM2.5 eq / kg substance),HH Particulate Air (PM2.5 eq ),chemical recycling,41834.36502933686
2020,"PET, chemical reclamation","Human health CF  [CTUcancer], Emission to cont. agric. Soil, cancer","Human health CF  [CTUcancer/kg], Emission to cont. agric. Soil, cancer","Human health CF  [CTUcancer], Emission to cont. agric. Soil, cancer",chemical recycling,0.00970461979408304
2020,"PET, chemical reclamation","Human health CF  [CTUcancer], Emission to cont. freshwater, cancer","Human health CF  [CTUcancer/kg], Emission to cont. freshwater, cancer","Human health CF  [CTUcancer], Emission to cont. freshwater, cancer",chemical recycling,0.017872766270320393
2020,"PET, chemical reclamation","Human health CF  [CTUcancer], Emission to cont. natural soil, cancer","Human health CF  [CTUcancer/kg], Emission to cont. natural soil, cancer","Human health CF  [CTUcancer], Emission to cont. natural soil, cancer",chemical recycling,0.0070699307111764895
2020,"PET, chemical reclamation","Human health CF  [CTUcancer], Emission to cont. rural air, cancer","Human health CF  [CTUcancer/kg], Emission to cont. rural air, cancer","Human health CF  [CTUcancer], Emission to cont. rural air, cancer",chemical recycling,0.007501564086555841
2020,"PET, chemical reclamation","Human health CF  [CTUcancer], Emission to cont. sea water, cancer","Human health CF  [CTUcancer/kg], Emission to cont. sea water, cancer","Human health CF  [CTUcancer], Emission to cont. sea water, cancer",chemical recycling,0.0011492126494749995
2020,"PET, chemical reclamation","Human health CF  [CTUcancer], Emission to urban air, cancer","Human health CF  [CTUcancer/kg], Emission to urban air, cancer","Human health CF  [CTUcancer], Emission to urban air, cancer",chemical recycling,0.025933421852921485
2020,"PET, chemical reclamation","Human health CF  [CTUnoncancer], Emission to cont. agric. Soil, non-canc.","Human health CF  [CTUnoncancer/kg], Emission to cont. agric. Soil, non-canc.","Human health CF  [CTUnoncancer], Emission to cont. agric. Soil, non-canc.",chemical recycling,-7.003144980221993
2020,"PET, chemical reclamation","Human health CF  [CTUnoncancer], Emission to cont. freshwater, non-canc.","Human health CF  [CTUnoncancer/kg], Emission to cont. freshwater, non-canc.","Human health CF  [CTUnoncancer], Emission to cont. freshwater, non-canc.",chemical recycling,-0.0634653210353469
2020,"PET, chemical reclamation","Human health CF  [CTUnoncancer], Emission to cont. natural soil, non-canc.","Human health CF  [CTUnoncancer/kg], Emission to cont. natural soil, non-canc.","Human health CF  [CTUnoncancer], Emission to cont. natural soil, non-canc.",chemical recycling,-0.03778491166837357
2020,"PET, chemical reclamation","Human health CF  [CTUnoncancer], Emission to cont. rural air, non-canc.","Human health CF  [CTUnoncancer/kg], Emission to cont. rural air, non-canc.","Human health CF  [CTUnoncancer], Emission to cont. rural air, non-canc.",chemical recycling,-2.535742760354641
2020,"PET, chemical reclamation","Human health CF  [CTUnoncancer], Emission to cont. sea water, non-canc.","Human health CF  [CTUnoncancer/kg], Emission to cont. sea water, non-canc.","Human health CF  [CTUnoncancer], Emission to cont. sea water, non-canc.",chemical recycling,-0.03840371889840179
2020,"PET, chemical reclamation","Human health CF  [CTUnoncancer], Emission to urban air, non-canc.","Human health CF  [CTUnoncancer/kg], Emission to urban air, non-canc.","Human health CF  [CTUnoncancer], Emission to urban air, non-canc.",chemical recycling,-2.3950392742223188
2020,"PET, chemical reclamation",Ozone Depletion Air (kg CFC-11 eq),Ozone Depletion Air (kg CFC-11 eq / kg substance),Ozone Depletion Air (kg CFC-11 eq),chemical recycling,0.8183454507816168
2020,"PET, chemical reclamation",Smog Air (kg O3 eq ),Smog Air (kg O3 eq / kg substance),Smog Air (kg O3 eq ),chemical recycling,11564528.443529425
2020,"PET, collection",Acidification Air (kg SO2 eq),Acidification Air (kg SO2 eq / kg substance),Acidification Air (kg SO2 eq),chemical recycling,1368010.5630362476
2020,"PET, collection","Ecotox. CF [CTUeco], Em.agr.soilC, freshwater","Ecotox. CF [CTUeco/kg], Em.agr.soilC, freshwater","Ecotox. CF [CTUeco], Em.agr.soilC, freshwater",chemical recycling,515562.32050449715
2020,"PET, collection","Ecotox. CF [CTUeco], Em.airC, freshwater","Ecotox. CF [CTUeco/kg], Em.airC, freshwater","Ecotox. CF [CTUeco], Em.airC, freshwater",chemical recycling,148956.3940121769
2020,"PET, collection","Ecotox. CF [CTUecokg], Em.airU, freshwater","Ecotox. CF [CTUeco/kg], Em.airU, freshwater","Ecotox. CF [CTUecokg], Em.airU, freshwater",chemical recycling,149164.35449679085
2020,"PET, collection","Ecotox. CF [CTUecokg], Em.fr.waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.fr.waterC, freshwater","Ecotox. CF [CTUecokg], Em.fr.waterC, freshwater",chemical recycling,2943120.9425534196
2020,"PET, collection","Ecotox. CF [CTUecokg], Em.nat.soilC, freshwater","Ecotox. CF [CTUeco/kg], Em.nat.soilC, freshwater","Ecotox. CF [CTUecokg], Em.nat.soilC, freshwater",chemical recycling,515562.32050449715
2020,"PET, collection","Ecotox. CF [CTUecokg], Em.sea waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.sea waterC, freshwater","Ecotox. CF [CTUecokg], Em.sea waterC, freshwater",chemical recycling,544.9582528264052
2020,"PET, collection",Eutrophication Air (kg N eq),Eutrophication Air (kg N eq / kg substance),Eutrophication Air (kg N eq),chemical recycling,75564.77768084628
2020,"PET, collection",Eutrophication Water (kg N eq ),Eutrophication Water (kg N eq / kg substance),Eutrophication Water (kg N eq ),chemical recycling,498586.9180202618
2020,"PET, collection",Global Warming Air (kg CO2 eq ),Global Warming Air (kg CO2 eq / kg substance),Global Warming Air (kg CO2 eq ),chemical recycling,150745108.76750037
2020,"PET, collection",HH Particulate Air (PM2.5 eq ),HH Particulate Air (PM2.5 eq / kg substance),HH Particulate Air (PM2.5 eq ),chemical recycling,24889.9431828293
2020,"PET, collection","Human health CF  [CTUcancer], Emission to cont. agric. Soil, cancer","Human health CF  [CTUcancer/kg], Emission to cont. agric. Soil, cancer","Human health CF  [CTUcancer], Emission to cont. agric. Soil, cancer",chemical recycling,0.004108553852848152
2020,"PET, collection","Human health CF  [CTUcancer], Emission to cont. freshwater, cancer","Human health CF  [CTUcancer/kg], Emission to cont. freshwater, cancer","Human health CF  [CTUcancer], Emission to cont. freshwater, cancer",chemical recycling,0.00480766000251487
2020,"PET, collection","Human health CF  [CTUcancer], Emission to cont. natural soil, cancer","Human health CF  [CTUcancer/kg], Emission to cont. natural soil, cancer","Human health CF  [CTUcancer], Emission to cont. natural soil, cancer",chemical recycling,0.002201057005247158
2020,"PET, collection","Human health CF  [CTUcancer], Emission to cont. rural air, cancer","Human health CF  [CTUcancer/kg], Emission to cont. rural air, cancer","Human health CF  [CTUcancer], Emission to cont. rural air, cancer",chemical recycling,0.0033582095184275565
