year,circularity,cvalue,scenario
2020,closedloop_circularity,0.23766787212180296,chemical recycling
2021,closedloop_circularity,0.23485221444826332,chemical recycling
2022,closedloop_circularity,0.23297703697030508,chemical recycling
2023,closedloop_circularity,0.23098228542001198,chemical recycling
2024,closedloop_circularity,0.22939357781238084,chemical recycling
2025,closedloop_circularity,0.22681789131035024,chemical recycling
2026,closedloop_circularity,0.22504696261471355,chemical recycling
2027,closedloop_circularity,0.22368464555123482,chemical recycling
2028,closedloop_circularity,0.22182362265676236,chemical recycling
2029,closedloop_circularity,0.22134640060236926,chemical recycling
2030,closedloop_circularity,0.2199330352456294,chemical recycling
2031,closedloop_circularity,0.21898567496902488,chemical recycling
2032,closedloop_circularity,0.21767065978988068,chemical recycling
2033,closedloop_circularity,0.21734545279051085,chemical recycling
2034,closedloop_circularity,0.21666660621381728,chemical recycling
2035,closedloop_circularity,0.21542579124881853,chemical recycling
2036,closedloop_circularity,0.21487540415632012,chemical recycling
2037,closedloop_circularity,0.213863876586234,chemical recycling
2038,closedloop_circularity,0.21307259203908885,chemical recycling
2039,closedloop_circularity,0.21320933284971405,chemical recycling
2040,closedloop_circularity,0.2125984089542274,chemical recycling
2041,closedloop_circularity,0.21128670239383376,chemical recycling
2042,closedloop_circularity,0.2112268937648281,chemical recycling
2043,closedloop_circularity,0.21092695244612222,chemical recycling
2044,closedloop_circularity,0.2102993627233471,chemical recycling
2045,closedloop_circularity,0.21004433923196378,chemical recycling
2046,closedloop_circularity,0.2100751432243974,chemical recycling
2047,closedloop_circularity,0.2099001353653992,chemical recycling
2048,closedloop_circularity,0.20979935696393295,chemical recycling
2049,closedloop_circularity,0.20985857445473918,chemical recycling
2020,openloop_circularity,0.0,chemical recycling
2021,openloop_circularity,0.0,chemical recycling
2022,openloop_circularity,0.0,chemical recycling
2023,openloop_circularity,0.0,chemical recycling
2024,openloop_circularity,0.0,chemical recycling
2025,openloop_circularity,0.0,chemical recycling
2026,openloop_circularity,0.0,chemical recycling
2027,openloop_circularity,0.0,chemical recycling
2028,openloop_circularity,0.0,chemical recycling
2029,openloop_circularity,0.0,chemical recycling
2030,openloop_circularity,0.0,chemical recycling
2031,openloop_circularity,0.0,chemical recycling
2032,openloop_circularity,0.0,chemical recycling
2033,openloop_circularity,0.0,chemical recycling
2034,openloop_circularity,0.0,chemical recycling
2035,openloop_circularity,0.0,chemical recycling
2036,openloop_circularity,0.0,chemical recycling
2037,openloop_circularity,0.0,chemical recycling
2038,openloop_circularity,0.0,chemical recycling
2039,openloop_circularity,0.0,chemical recycling
2040,openloop_circularity,0.0,chemical recycling
2041,openloop_circularity,0.0,chemical recycling
2042,openloop_circularity,0.0,chemical recycling
2043,openloop_circularity,0.0,chemical recycling
2044,openloop_circularity,0.0,chemical recycling
2045,openloop_circularity,0.0,chemical recycling
2046,openloop_circularity,0.0,chemical recycling
2047,openloop_circularity,0.0,chemical recycling
2048,openloop_circularity,0.0,chemical recycling
2049,openloop_circularity,0.0,chemical recycling
2020,upcycling_circularity,0.0,chemical recycling
2021,upcycling_circularity,0.0,chemical recycling
2022,upcycling_circularity,0.0,chemical recycling
2023,upcycling_circularity,0.0,chemical recycling
2024,upcycling_circularity,0.0,chemical recycling
2025,upcycling_circularity,0.0,chemical recycling
2026,upcycling_circularity,0.0,chemical recycling
2027,upcycling_circularity,0.0,chemical recycling
2028,upcycling_circularity,0.0,chemical recycling
2029,upcycling_circularity,0.0,chemical recycling
2030,upcycling_circularity,0.0,chemical recycling
2031,upcycling_circularity,0.0,chemical recycling
2032,upcycling_circularity,0.0,chemical recycling
2033,upcycling_circularity,0.0,chemical recycling
2034,upcycling_circularity,0.0,chemical recycling
2035,upcycling_circularity,0.0,chemical recycling
2036,upcycling_circularity,0.0,chemical recycling
2037,upcycling_circularity,0.0,chemical recycling
2038,upcycling_circularity,0.0,chemical recycling
2039,upcycling_circularity,0.0,chemical recycling
2040,upcycling_circularity,0.0,chemical recycling
2041,upcycling_circularity,0.0,chemical recycling
2042,upcycling_circularity,0.0,chemical recycling
2043,upcycling_circularity,0.0,chemical recycling
2044,upcycling_circularity,0.0,chemical recycling
2045,upcycling_circularity,0.0,chemical recycling
2046,upcycling_circularity,0.0,chemical recycling
2047,upcycling_circularity,0.0,chemical recycling
2048,upcycling_circularity,0.0,chemical recycling
2049,upcycling_circularity,0.0,chemical recycling
2020,incineration_circularity,0.06563506765156117,chemical recycling
2021,incineration_circularity,0.0660421899294009,chemical recycling
2022,incineration_circularity,0.06631332605981709,chemical recycling
2023,incineration_circularity,0.06660175167437653,chemical recycling
2024,incineration_circularity,0.06683146648172632,chemical recycling
2025,incineration_circularity,0.06720389078797713,chemical recycling
2026,incineration_circularity,0.06745995335241273,chemical recycling
2027,incineration_circularity,0.06765693384163754,chemical recycling
2028,incineration_circularity,0.06792602332898173,chemical recycling
2029,incineration_circularity,0.06799502593950704,chemical recycling
2030,incineration_circularity,0.06819938761630576,chemical recycling
2031,incineration_circularity,0.06833636857012364,chemical recycling
2032,incineration_circularity,0.06852650957347013,chemical recycling
2033,incineration_circularity,0.06857353198517774,chemical recycling
2034,incineration_circularity,0.06867168793900849,chemical recycling
2035,incineration_circularity,0.06885110016645192,chemical recycling
2036,incineration_circularity,0.06893068187444765,chemical recycling
2037,incineration_circularity,0.06907694092159718,chemical recycling
2038,incineration_circularity,0.06919135453454471,chemical recycling
2039,incineration_circularity,0.06917158287308936,chemical recycling
2040,incineration_circularity,0.0692599177336282,chemical recycling
2041,incineration_circularity,0.06944958033634561,chemical recycling
2042,incineration_circularity,0.06945822820057432,chemical recycling
2043,incineration_circularity,0.06950159739067059,chemical recycling
2044,incineration_circularity,0.06959234200067278,chemical recycling
2045,incineration_circularity,0.06962921642105788,chemical recycling
2046,incineration_circularity,0.06962476240248736,chemical recycling
2047,incineration_circularity,0.0696500671825623,chemical recycling
2048,incineration_circularity,0.06966463895836712,chemical recycling
2049,incineration_circularity,0.06965607656814067,chemical recycling
