year,vmanuf_to_use,use_to_dispose,dispose_to_landfill,dispose_to_collection,dispose_to_mrf,dispose_to_wte_uncollected,dispose_to_wte_collected,mrf_to_m_reclaimer,mrf_to_c_reclaimer,mrf_to_c_upcycler,mrf_to_ppo_reclaimer,mrf_to_frp_reclaimer,mrf_to_landfill,m_reclaimer_to_manuf,m_reclaimer_to_landfill,c_reclaimer_to_manuf,c_reclaimer_to_landfill,rmanuf_to_use,rmanuf_to_landfill,cl_recycled,downcycled,wte_energy,pyrolysis_fuel_oil,fiber_reinforced_resin,plastic_demand_data,total_bale_quantity,total_bale_quantity_mechanical_reclaimer,total_bale_quantity_chemical_reclaimer,total_bale_quantity_upcycling_reclaimer,total_bale_quantity_pyrolysis_reclaimer,total_bale_quantity_fiber_reinforced_resin_reclaimer,landfill,cl_circularity,ol_circularity,u_circularity_ppo,u_circularity_frp,u_circularity,wte_circularity,linear_flow_index,material_circularity_index_recycling,material_circularity_index_downcycling,material_circularity_index_pyrolysis,material_circularity_index_fiber_reinforced_resin,material_circularity_index_incineration,utility_factor_incineration,utility_factor_recycling,utility_factor_downcycling,utility_factor_pyrolysis,utility_fiber_reinforced_resin,material_circularity_index,scenario
2020,5590.194195535827,7174.130598181554,4237.870924375032,2465.385126653741,2465.385126653741,470.8745471527813,0.0,0.0,2243.5004652549046,0.0,0.0,0.0,221.8846613988366,0.0,0.0,1705.0603535937273,538.4401116611771,1705.0603535937273,0.0,1705.0603535937273,0.0,129490500.46701486,0.0,0.0,331899.19999999786,3339.110457140148,0.0,3339.110457140148,0.0,0.0,0.0,4998.195697435045,0.23766787212180296,0.0,0.0,0.0,0.0,0.06563506765156117,0.5249999367585052,0.5275000569173454,0.3700000758897938,0.2730770106420697,0.9763750028458673,0.2125000948622422,0.6,1.0,0.75,0.65,20.0,0.13931727417392184,chemical recycling
2021,5727.853447247074,7358.584662832393,4373.793413229181,2498.8142036888585,2498.8142036888585,485.9770459143535,0.0,0.0,2273.9209253568615,0.0,0.0,0.0,224.89327833199724,0.0,0.0,1728.1799032712147,545.7410220856467,1728.1799032712147,0.0,1728.1799032712147,0.0,133643687.62644722,0.0,0.0,340432.6599999983,3386.069513210699,0.0,3386.069513210699,0.0,0.0,0.0,5144.427713646825,0.23485221444826332,0.0,0.0,0.0,0.0,0.0660421899294009,0.5300456600265875,0.5229589059760713,0.36394520796809504,0.26609062457857113,0.9761479452988036,0.20493150996011877,0.6,1.0,0.75,0.65,20.0,0.13635218283722655,chemical recycling
2022,5891.051134590636,7543.038727483232,4501.83587955681,2540.998861308999,2540.998861308999,500.2039866174233,0.0,0.0,2312.3089637911894,0.0,0.0,0.0,228.6898975178098,0.0,0.0,1757.354812481304,554.9541513098854,1757.354812481304,0.0,1757.354812481304,0.0,137556096.3197914,0.0,0.0,348966.1199999987,3445.663852504323,0.0,3445.663852504323,0.0,0.0,0.0,5285.479928384505,0.23297703697030508,0.0,0.0,0.0,0.0,0.06631332605981709,0.5322741307265529,0.5209532823461023,0.3612710431281364,0.26300504976323436,0.9760476641173051,0.20158880391017053,0.6,1.0,0.75,0.65,20.0,0.1347381762046533,chemical recycling
2023,6048.193462401597,7727.492792134071,4631.981004065231,2580.8472320615924,2580.8472320615924,514.6645560072479,0.0,0.0,2348.5709811760494,0.0,0.0,0.0,232.27625088554333,0.0,0.0,1784.9139456937974,563.6570354822518,1784.9139456937974,0.0,1784.9139456937974,0.0,141532752.9019932,0.0,0.0,357499.57999999914,3502.36061280639,0.0,3502.36061280639,0.0,0.0,0.0,5427.9142904330265,0.23098228542001198,0.0,0.0,0.0,0.0,0.06660175167437653,0.5350452248040759,0.5184592976763317,0.3579457302351089,0.2591681502712796,0.9759229648838166,0.1974321627938861,0.6,1.0,0.75,0.65,20.0,0.13290424135346687,chemical recycling
2024,6206.951566210153,7911.946856784911,4758.903100479785,2624.276745140705,2624.276745140705,528.7670111644206,0.0,0.0,2388.0918380780413,0.0,0.0,0.0,236.1849070626633,0.0,0.0,1814.9497969393115,573.14204113873,1814.9497969393115,0.0,1814.9497969393115,0.0,145410928.07021567,0.0,0.0,366033.0399999996,3565.3581558100705,0.0,3565.3581558100705,0.0,0.0,0.0,5568.230048681179,0.22939357781238084,0.0,0.0,0.0,0.0,0.06683146648172632,0.537082362900051,0.5166258733899541,0.35550116451993885,0.25634749752300634,0.9758312936694977,0.19437645564992356,0.6,1.0,0.75,0.65,20.0,0.1315011210679723,chemical recycling
2025,6363.2329519856885,8096.40092143575,4896.986789698609,2655.3044884372953,2655.3044884372953,544.1096432998455,0.0,0.0,2416.327084477939,0.0,0.0,0.0,238.97740395935648,0.0,0.0,1836.4085842032334,579.9185002747054,1836.4085842032334,0.0,1836.4085842032334,0.0,149630151.9074575,0.0,0.0,374566.5,3609.148774734729,0.0,3609.148774734729,0.0,0.0,0.0,5715.882693932671,0.22681789131035024,0.0,0.0,0.0,0.0,0.06720389078797713,0.5409677763695071,0.5131290012674437,0.3508386683565915,0.25096769425760557,0.9756564500633722,0.18854833544573935,0.6,1.0,0.75,0.65,20.0,0.12905801978121795,chemical recycling
2026,6528.091401742817,8280.85498608659,5027.634819715461,2694.594075291632,2694.594075291632,558.6260910794957,0.0,0.0,2452.0806085153854,0.0,0.0,0.0,242.51346677624676,0.0,0.0,1863.581262471693,588.4993460436925,1863.581262471693,0.0,1863.581262471693,0.0,153622175.04686132,0.0,0.0,383099.9600000004,3663.3108647146405,0.0,3663.3108647146405,0.0,0.0,0.0,5858.647632535401,0.22504696261471355,0.0,0.0,0.0,0.0,0.06745995335241273,0.5431084187907891,0.5112024230882899,0.3482698974510531,0.2480037278281383,0.9755601211544145,0.18533737181381638,0.6,1.0,0.75,0.65,20.0,0.1275474030543202,chemical recycling
2027,6687.235960495348,8465.30905073737,5154.631689552783,2737.9405067898333,2737.9405067898333,572.7368543947538,0.0,0.0,2491.5258611787485,0.0,0.0,0.0,246.41464561108495,0.0,0.0,1893.559654495849,597.9662066828997,1893.559654495849,0.0,1893.559654495849,0.0,157502634.95855728,0.0,0.0,391633.4199999982,3724.6041900473956,0.0,3724.6041900473956,0.0,0.0,0.0,5999.012541846768,0.22368464555123482,0.0,0.0,0.0,0.0,0.06765693384163754,0.5448429079204054,0.5096413828716352,0.3461885104955136,0.24560212749482335,0.9754820691435817,0.18273563811939197,0.6,1.0,0.75,0.65,20.0,0.12636228506463598,chemical recycling
2028,6843.574805492242,8649.76311538821,5287.8961004942275,2774.3230037279577,2774.3230037279577,587.5440111660253,0.0,0.0,2524.6339333924416,0.0,0.0,0.0,249.6890703355161,0.0,0.0,1918.7217893782556,605.912144014186,1918.7217893782556,0.0,1918.7217893782556,0.0,161574603.07065696,0.0,0.0,400166.8799999986,3776.050427370976,0.0,3776.050427370976,0.0,0.0,0.0,6143.497314843929,0.22182362265676236,0.0,0.0,0.0,0.0,0.06792602332898173,0.5475991842996952,0.5071607341302743,0.3428809788403657,0.2417857448158066,0.9753580367065137,0.17860122355045716,0.6,1.0,0.75,0.65,20.0,0.12463190219151359,chemical recycling
2029,7004.7299076308855,8834.21718003905,5406.145436807946,2827.3889169191093,2827.3889169191093,600.682826311994,0.0,0.0,2572.9239143963896,0.0,0.0,0.0,254.46500252271974,0.0,0.0,1955.4221749412563,617.5017394551335,1955.4221749412563,0.0,1955.4221749412563,0.0,165187777.23579836,0.0,0.0,408700.33999999904,3849.9189319114316,0.0,3849.9189319114316,0.0,0.0,0.0,6278.112178785799,0.22134640060236926,0.0,0.0,0.0,0.0,0.06799502593950704,0.5477592288957867,0.507016693993792,0.342688925325056,0.24156414460583386,0.9753508346996896,0.17836115665632002,0.6,1.0,0.75,0.65,20.0,0.12435399173428571,chemical recycling
