location,year,bale,material,value
Mississippi_Grenada,2020,vacuum,aluminum,19.36295664
Mississippi_Grenada,2020,vacuum,cardboard,503.43687263999993
Mississippi_Grenada,2020,vacuum,iron,5.808886991999999
Mississippi_Grenada,2020,vacuum,glass,58.08886991999999
Mississippi_Grenada,2020,vacuum,hdpe,116.17773984
Mississippi_Grenada,2020,vacuum,paper,45.7065499958191
Mississippi_Grenada,2020,vacuum,pet,174.26660975999997
Mississippi_Grenada,2020,vacuum,film,8.941863309544583
Mississippi_Grenada,2020,vacuum,other,5.808886992
Mississippi_Grenada,2020,film_bale,aluminum,0.0
Mississippi_Grenada,2020,film_bale,cardboard,10.068737452799999
Mississippi_Grenada,2020,film_bale,iron,0.0
Mississippi_Grenada,2020,film_bale,glass,0.0
Mississippi_Grenada,2020,film_bale,hdpe,0.0
Mississippi_Grenada,2020,film_bale,paper,0.914130999916382
Mississippi_Grenada,2020,film_bale,pet,0.0
Mississippi_Grenada,2020,film_bale,film,8.763026043353692
Mississippi_Grenada,2020,film_bale,other,0.0
Mississippi_Grenada,2020,cardboard_bale,aluminum,0.0
Mississippi_Grenada,2020,cardboard_bale,cardboard,370.02610139039996
Mississippi_Grenada,2020,cardboard_bale,iron,0.0
Mississippi_Grenada,2020,cardboard_bale,glass,0.0
Mississippi_Grenada,2020,cardboard_bale,hdpe,0.0
Mississippi_Grenada,2020,cardboard_bale,paper,0.8958483799180544
Mississippi_Grenada,2020,cardboard_bale,pet,0.0
Mississippi_Grenada,2020,cardboard_bale,film,0.0
Mississippi_Grenada,2020,cardboard_bale,other,0.0
Mississippi_Grenada,2020,glass_bale,aluminum,0.0
Mississippi_Grenada,2020,glass_bale,cardboard,0.0
Mississippi_Grenada,2020,glass_bale,iron,0.0
Mississippi_Grenada,2020,glass_bale,glass,56.34620382239999
Mississippi_Grenada,2020,glass_bale,hdpe,0.0
Mississippi_Grenada,2020,glass_bale,paper,0.0
Mississippi_Grenada,2020,glass_bale,pet,0.0
Mississippi_Grenada,2020,glass_bale,film,0.0
Mississippi_Grenada,2020,glass_bale,other,0.0
Kentucky_Pulaski,2020,vacuum,aluminum,59.611126350000006
Kentucky_Pulaski,2020,vacuum,cardboard,2205.61167495
Kentucky_Pulaski,2020,vacuum,iron,35.766675809999995
Kentucky_Pulaski,2020,vacuum,glass,357.6667581
Kentucky_Pulaski,2020,vacuum,hdpe,298.05563175
Kentucky_Pulaski,2020,vacuum,paper,1109.7300244867545
Kentucky_Pulaski,2020,vacuum,pet,715.3335162
Kentucky_Pulaski,2020,vacuum,film,25.221221066677547
Kentucky_Pulaski,2020,vacuum,other,17.883337905
Kentucky_Pulaski,2020,film_bale,aluminum,0.0
Kentucky_Pulaski,2020,film_bale,cardboard,44.112233499000006
Kentucky_Pulaski,2020,film_bale,iron,0.0
Kentucky_Pulaski,2020,film_bale,glass,0.0
Kentucky_Pulaski,2020,film_bale,hdpe,0.0
Kentucky_Pulaski,2020,film_bale,paper,22.19460048973509
Kentucky_Pulaski,2020,film_bale,pet,0.0
Kentucky_Pulaski,2020,film_bale,film,24.716796645343994
Kentucky_Pulaski,2020,film_bale,other,0.0
Kentucky_Pulaski,2020,cardboard_bale,aluminum,0.0
Kentucky_Pulaski,2020,cardboard_bale,cardboard,1621.1245810882501
Kentucky_Pulaski,2020,cardboard_bale,iron,0.0
