Equipment,Fraction of equipment capacity utilized ,Rated motor capacity (kW),ops_list,total_flow,time,electricity kwh,diesel_l,baling wire kg,region,"Building, Hall, Steel Construction m2","Building, Multi-Storey m3","Polyethylene, High Density, Granulate kg","Road, Company, Internal m2/year","Steel, Chromium Steel 18/8, Hot Rolled kg","Steel, Low-Alloyed, Hot Rolled kg"
vacuum,0.85,5.0,vacuum,14917.318730346844,497.2439576782281,2924.964456930754,5966.927492138738,8950.391238208105,Wisconsin_Washington,76.84679119916272,31.642795498636488,180.8159828021049,67.80600100944872,2260.1998148609487,2034.1798214409994
disc_screen1,0.85,8.5,disc_screen1,14657.885511363133,497.2439576782281,4972.439576782282,5966.927492138738,8950.391238208105,Wisconsin_Washington,76.84679119916272,31.642795498636488,180.8159828021049,67.80600100944872,2260.1998148609487,2034.1798214409994
disc_screen2,0.85,5.5,disc_screen2,8136.469829922382,497.2439576782281,3217.460902623829,5966.927492138738,8950.391238208105,Wisconsin_Washington,76.84679119916272,31.642795498636488,180.8159828021049,67.80600100944872,2260.1998148609487,2034.1798214409994
glass_breaker,0.85,30.0,glass_breaker,10515.502436775381,497.2439576782281,17549.786741584525,5966.927492138738,8950.391238208105,Wisconsin_Washington,76.84679119916272,31.642795498636488,180.8159828021049,67.80600100944872,2260.1998148609487,2034.1798214409994
nir_hdpe,0.85,13.0,nir_hdpe,2849.509611148084,497.2439576782281,7604.90758801996,5966.927492138738,8950.391238208105,Wisconsin_Washington,76.84679119916272,31.642795498636488,180.8159828021049,67.80600100944872,2260.1998148609487,2034.1798214409994
nir_pet,0.85,40.0,nir_pet,4130.84617663068,497.2439576782281,23399.71565544603,5966.927492138738,8950.391238208105,Wisconsin_Washington,76.84679119916272,31.642795498636488,180.8159828021049,67.80600100944872,2260.1998148609487,2034.1798214409994
magnet,0.85,4.0,magnet,2297.7727853421798,497.2439576782281,2339.971565544603,5966.927492138738,8950.391238208105,Wisconsin_Washington,76.84679119916272,31.642795498636488,180.8159828021049,67.80600100944872,2260.1998148609487,2034.1798214409994
eddy,0.85,9.0,eddy,1972.1778195481515,497.2439576782281,5264.936022475356,5966.927492138738,8950.391238208105,Wisconsin_Washington,76.84679119916272,31.642795498636488,180.8159828021049,67.80600100944872,2260.1998148609487,2034.1798214409994
vacuum,0.85,5.0,vacuum,2647.6262644396197,88.25420881465399,519.1424047920824,1059.050505775848,1588.5757586637717,Kentucky_Floyd,13.639286415654666,5.616176603644495,32.09243924804069,12.034666041828393,401.15549589576113,361.03994418808406
disc_screen1,0.85,8.5,disc_screen1,2597.677549275967,88.25420881465399,882.54208814654,1059.050505775848,1588.5757586637717,Kentucky_Floyd,13.639286415654666,5.616176603644495,32.09243924804069,12.034666041828393,401.15549589576113,361.03994418808406
disc_screen2,0.85,5.5,disc_screen2,1505.7791667480033,88.25420881465399,571.0566452712906,1059.050505775848,1588.5757586637717,Kentucky_Floyd,13.639286415654666,5.616176603644495,32.09243924804069,12.034666041828393,401.15549589576113,361.03994418808406
glass_breaker,0.85,30.0,glass_breaker,1696.1587973166033,88.25420881465399,3114.854428752494,1059.050505775848,1588.5757586637717,Kentucky_Floyd,13.639286415654666,5.616176603644495,32.09243924804069,12.034666041828393,401.15549589576113,361.03994418808406
nir_hdpe,0.85,13.0,nir_hdpe,558.2457303735318,88.25420881465399,1349.770252459414,1059.050505775848,1588.5757586637717,Kentucky_Floyd,13.639286415654666,5.616176603644495,32.09243924804069,12.034666041828393,401.15549589576113,361.03994418808406
nir_pet,0.85,40.0,nir_pet,950.0902021946196,88.25420881465399,4153.139238336659,1059.050505775848,1588.5757586637717,Kentucky_Floyd,13.639286415654666,5.616176603644495,32.09243924804069,12.034666041828393,401.15549589576113,361.03994418808406
magnet,0.85,4.0,magnet,437.48696232807697,88.25420881465399,415.31392383366585,1059.050505775848,1588.5757586637717,Kentucky_Floyd,13.639286415654666,5.616176603644495,32.09243924804069,12.034666041828393,401.15549589576113,361.03994418808406
eddy,0.85,9.0,eddy,418.0738639570011,88.25420881465399,934.4563286257481,1059.050505775848,1588.5757586637717,Kentucky_Floyd,13.639286415654666,5.616176603644495,32.09243924804069,12.034666041828393,401.15549589576113,361.03994418808406
vacuum,0.85,5.0,vacuum,1349.1454041492475,44.971513471641586,264.53831453906815,539.658161659699,809.4872424895485,Kentucky_Harrison,6.950142786655911,2.8618234210262337,16.353277462518708,6.1324797230172186,204.41597097977464,183.9743728024809
disc_screen1,0.85,8.5,disc_screen1,1323.69314133886,44.971513471641586,449.71513471641583,539.658161659699,809.4872424895485,Kentucky_Harrison,6.950142786655911,2.8618234210262337,16.353277462518708,6.1324797230172186,204.41597097977464,183.9743728024809
disc_screen2,0.85,5.5,disc_screen2,767.2967555002442,44.971513471641586,290.992145992975,539.658161659699,809.4872424895485,Kentucky_Harrison,6.950142786655911,2.8618234210262337,16.353277462518708,6.1324797230172186,204.41597097977464,183.9743728024809
glass_breaker,0.85,30.0,glass_breaker,864.3081075460441,44.971513471641586,1587.229887234409,539.658161659699,809.4872424895485,Kentucky_Harrison,6.950142786655911,2.8618234210262337,16.353277462518708,6.1324797230172186,204.41597097977464,183.9743728024809
nir_hdpe,0.85,13.0,nir_hdpe,284.4641147563169,44.971513471641586,687.7996178015773,539.658161659699,809.4872424895485,Kentucky_Harrison,6.950142786655911,2.8618234210262337,16.353277462518708,6.1324797230172186,204.41597097977464,183.9743728024809
nir_pet,0.85,40.0,nir_pet,484.1354865806184,44.971513471641586,2116.306516312545,539.658161659699,809.4872424895485,Kentucky_Harrison,6.950142786655911,2.8618234210262337,16.353277462518708,6.1324797230172186,204.41597097977464,183.9743728024809
magnet,0.85,4.0,magnet,222.9293207004295,44.971513471641586,211.63065163125452,539.658161659699,809.4872424895485,Kentucky_Harrison,6.950142786655911,2.8618234210262337,16.353277462518708,6.1324797230172186,204.41597097977464,183.9743728024809
eddy,0.85,9.0,eddy,213.0370285746835,44.971513471641586,476.1689661703227,539.658161659699,809.4872424895485,Kentucky_Harrison,6.950142786655911,2.8618234210262337,16.353277462518708,6.1324797230172186,204.41597097977464,183.9743728024809
vacuum,0.85,5.0,vacuum,159.7999711481532,5.326665704938439,31.333327676108468,63.919988459261276,95.87998268889191,Kansas_Greeley,0.8232119483692784,0.3389696163991163,1.9369693278806481,0.7263635778552288,24.212116918108045,21.790905098457266
disc_screen1,0.85,8.5,disc_screen1,156.498054437116,5.326665704938439,53.26665704938439,63.919988459261276,95.87998268889191,Kansas_Greeley,0.8232119483692784,0.3389696163991163,1.9369693278806481,0.7263635778552288,24.212116918108045,21.790905098457266
disc_screen2,0.85,5.5,disc_screen2,100.536668206839,5.326665704938439,34.46666044371931,63.919988459261276,95.87998268889191,Kansas_Greeley,0.8232119483692784,0.3389696163991163,1.9369693278806481,0.7263635778552288,24.212116918108045,21.790905098457266
glass_breaker,0.85,30.0,glass_breaker,117.220888978839,5.326665704938439,187.9999660566508,63.919988459261276,95.87998268889191,Kansas_Greeley,0.8232119483692784,0.3389696163991163,1.9369693278806481,0.7263635778552288,24.212116918108045,21.790905098457266
nir_hdpe,0.85,13.0,nir_hdpe,27.49090589736354,5.326665704938439,81.46665195788202,63.919988459261276,95.87998268889191,Kansas_Greeley,0.8232119483692784,0.3389696163991163,1.9369693278806481,0.7263635778552288,24.212116918108045,21.790905098457266
nir_pet,0.85,40.0,nir_pet,38.07189548342422,5.326665704938439,250.66662140886774,63.919988459261276,95.87998268889191,Kansas_Greeley,0.8232119483692784,0.3389696163991163,1.9369693278806481,0.7263635778552288,24.212116918108045,21.790905098457266
magnet,0.85,4.0,magnet,21.19447388278299,5.326665704938439,25.066662140886773,63.919988459261276,95.87998268889191,Kansas_Greeley,0.8232119483692784,0.3389696163991163,1.9369693278806481,0.7263635778552288,24.212116918108045,21.790905098457266
eddy,0.85,9.0,eddy,19.81703002304238,5.326665704938439,56.39998981699524,63.919988459261276,95.87998268889191,Kansas_Greeley,0.8232119483692784,0.3389696163991163,1.9369693278806481,0.7263635778552288,24.212116918108045,21.790905098457266
vacuum,0.85,5.0,vacuum,3022.366402321961,100.74554674406536,592.6208632003845,1208.9465609287843,1813.4198413931765,West Virginia_Ohio,15.569765857057615,6.411079881002171,36.63474390422178,13.738030475266369,457.934304847505,412.14087194486143
disc_screen1,0.85,8.5,disc_screen1,2968.896080126434,100.74554674406536,1007.4554674406536,1208.9465609287843,1813.4198413931765,West Virginia_Ohio,15.569765857057615,6.411079881002171,36.63474390422178,13.738030475266369,457.934304847505,412.14087194486143
disc_screen2,0.85,5.5,disc_screen2,1355.2439297189412,100.74554674406536,651.8829495204229,1208.9465609287843,1813.4198413931765,West Virginia_Ohio,15.569765857057615,6.411079881002171,36.63474390422178,13.738030475266369,457.934304847505,412.14087194486143
glass_breaker,0.85,30.0,glass_breaker,1371.7609562954412,100.74554674406536,3555.725179202307,1208.9465609287843,1813.4198413931765,West Virginia_Ohio,15.569765857057615,6.411079881002171,36.63474390422178,13.738030475266369,457.934304847505,412.14087194486143
nir_hdpe,0.85,13.0,nir_hdpe,801.0644470974777,100.74554674406536,1540.8142443209997,1208.9465609287843,1813.4198413931765,West Virginia_Ohio,15.569765857057615,6.411079881002171,36.63474390422178,13.738030475266369,457.934304847505,412.14087194486143
nir_pet,0.85,40.0,nir_pet,1279.5856216499062,100.74554674406536,4740.966905603076,1208.9465609287843,1813.4198413931765,West Virginia_Ohio,15.569765857057615,6.411079881002171,36.63474390422178,13.738030475266369,457.934304847505,412.14087194486143
magnet,0.85,4.0,magnet,614.2116150660177,100.74554674406536,474.0966905603076,1208.9465609287843,1813.4198413931765,West Virginia_Ohio,15.569765857057615,6.411079881002171,36.63474390422178,13.738030475266369,457.934304847505,412.14087194486143
